player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Kyle Boller,1335,QB,BLT,9,67.2,195,208,9.0,2.61,5,10,4.6,59.6,124,0,62,5.3,228,7,68,3,60.0,61.0,61.6,47.2,1,5,240,0,25.8,74.6,7.0,16,4,2,5,5,9,3.8,1242,6.0
Steve McNair,114,QB,BLT,6,77.7,188,205,6.5,2.57,8,2,1.0,64.9,133,0,75,8.9,220,13,61,3,24.5,49.0,54.4,28.5,2,4,225,5,14.7,73.9,5.0,11,4,1,6,2,10,4.4,1113,5.4
Alex Smith,2218,QB,SF,7,64.0,172,193,9.9,2.84,4,6,3.0,48.7,94,0,82,14.5,219,16,52,28,68.0,52.0,51.5,64.4,3,4,225,3,20.7,57.2,7.8,17,9,2,12,2,9,4.0,914,4.7
Chad Pennington,596,QB,NYJ,7,75.6,180,190,8.4,2.71,2,11,5.6,67.4,128,0,85,5.9,210,8,74,22,75.4,63.4,69.7,29.9,3,7,218,6,17.6,87.5,7.1,15,5,1,4,9,12,5.5,1317,6.9
Daunte Culpepper,446,QB,OAK,7,71.2,170,185,9.1,2.96,7,11,5.6,57.8,107,0,75,11.6,214,14,64,23,23.3,59.8,64.2,37.8,2,5,228,4,29.3,78.0,10.3,22,7,0,6,5,13,5.7,1329,7.2
J.P. Losman,1743,QB,BUF,8,70.7,164,175,8.9,2.95,4,7,3.9,63.4,111,0,70,4.3,200,5,65,4,44.3,47.0,48.8,43.9,2,6,204,0,20.0,77.0,7.0,14,11,1,4,4,10,4.9,1206,6.9
Rex Grossman,1338,QB,CHI,6,70.1,154,173,9.1,2.67,4,10,5.6,54.9,95,0,66,12.0,197,13,55,6,25.7,54.5,58.9,32.0,3,7,204,1,28.8,63.3,9.6,19,5,2,10,3,14,6.9,1101,6.4
Trent Dilfer,72,QB,SF,5,67.7,155,171,9.0,2.58,5,8,4.4,53.8,92,0,62,12.4,194,13,52,28,54.3,61.7,61.3,60.4,2,7,205,1,32.3,62.8,10.3,20,3,4,5,5,10,4.9,950,5.6
Cleo Lemon,1271,QB,MIA,5,69.5,151,166,9.1,2.85,4,6,3.4,57.8,96,0,55,8.6,184,9,50,17,72.2,60.7,57.6,73.0,3,4,192,3,18.2,69.4,5.4,10,8,1,7,3,10,5.2,923,5.6
Kellen Clemens,2994,QB,NYJ,6,66.7,141,159,10.0,2.76,2,4,2.4,49.1,78,0,64,17.0,180,16,48,22,53.5,48.9,55.0,33.8,4,6,189,4,21.9,56.9,7.8,14,7,2,10,3,8,4.2,892,5.6
Tarvaris Jackson,3009,QB,MIN,7,70.6,126,144,10.2,2.93,2,2,1.4,54.2,78,0,68,12.4,170,11,49,18,69.7,58.2,53.0,73.9,4,6,174,1,17.6,62.8,7.1,12,14,4,8,3,10,5.7,900,6.3
Trent Green,58,QB,MIA,5,70.5,129,141,8.9,2.69,5,5,3.4,60.3,85,0,48,6.6,150,6,52,17,88.5,52.0,54.5,42.4,1,7,158,2,14.6,72.6,4.7,7,2,3,3,5,11,7.0,987,7.0
David Carr,1009,QB,CAR,6,67.8,121,136,8.0,2.83,4,3,2.1,53.7,73,0,58,11.0,160,9,36,5,69.0,52.5,54.1,47.9,0,5,169,0,22.4,58.5,8.1,13,11,0,11,3,6,3.6,641,4.7
Josh McCown,1085,QB,OAK,5,69.0,113,122,8.7,3.02,3,4,3.0,58.2,71,0,53,9.0,147,7,40,23,30.1,41.6,41.3,57.9,0,9,158,2,22.6,59.5,8.2,12,13,0,6,5,12,7.6,760,6.2
Trent Edwards,3708,QB,BUF,5,78.0,109,121,6.3,2.75,6,1,0.8,66.1,80,0,51,5.9,131,5,43,4,63.5,71.4,70.6,55.5,1,5,136,0,17.6,69.9,6.9,9,1,0,5,1,7,5.1,790,6.5
Gus Frerotte,93,QB,SL,5,69.6,112,120,9.4,2.55,4,6,4.7,55.8,67,0,54,14.1,131,11,42,26,40.8,55.9,60.6,28.7,3,9,139,2,18.5,51.8,7.6,10,1,1,0,4,11,7.9,672,5.6
Vinny Testaverde,2866,QB,CAR,4,68.2,110,118,7.9,2.29,4,4,3.1,54.2,64,0,40,14.7,127,11,32,5,21.8,49.3,48.8,53.8,0,3,138,1,15.0,69.8,4.7,6,3,0,4,3,11,8.0,699,5.9
Matt Leinart,2955,QB,ARZ,5,66.7,99,112,9.3,2.83,4,1,0.9,53.6,60,0,53,9.1,121,6,34,1,87.1,50.5,54.1,44.0,3,4,127,2,7.5,61.9,3.3,4,5,0,6,2,4,3.1,647,5.8
Brodie Croyle,3030,QB,KC,5,70.3,91,97,8.5,2.66,1,4,3.9,59.8,58,0,27,9.4,109,6,32,16,40.9,58.3,59.8,49.7,1,2,116,1,33.3,76.6,8.3,9,3,1,3,2,4,3.4,614,6.3
Quinn Gray,1247,QB,JAX,4,60.0,90,96,10.6,2.54,2,3,3.0,51.0,49,0,27,9.3,107,5,32,15,60.2,42.2,41.0,57.1,2,5,113,0,25.9,63.3,6.5,7,4,0,2,4,10,8.8,611,6.4
Sage Rosenfels,863,QB,HST,4,72.2,90,93,10.1,2.64,1,8,8.3,65.6,61,0,33,6.2,98,4,37,13,57.0,66.1,70.7,35.0,1,6,101,1,3.0,87.6,1.0,1,4,1,0,7,7,6.9,729,7.8
Jake Delhomme,303,QB,CAR,3,80.8,78,86,7.8,2.53,3,5,5.7,64.0,55,0,25,12.7,95,8,31,5,55.1,67.0,67.8,50.6,2,1,97,1,20.0,111.8,5.3,5,4,1,2,8,3,3.1,624,7.3
Kelly Holcomb,148,QB,MIN,3,65.7,67,83,9.4,2.63,4,4,4.3,50.6,42,0,34,4.5,95,2,23,18,85.2,66.0,67.1,59.4,7,1,104,4,35.3,73.3,12.6,12,0,1,4,2,4,3.8,519,6.3
Kerry Collins,115,QB,TEN,4,75.9,58,66,8.3,2.75,2,5,7.5,59.1,39,0,25,11.4,70,5,23,31,82.5,86.4,85.6,,1,0,71,1,16.0,78.3,5.7,4,0,0,5,0,2,2.8,427,6.5
A.J. Feeley,893,QB,PHI,2,77.6,58,61,10.5,2.54,1,3,4.8,65.6,40,0,14,11.1,64,5,25,24,54.6,61.1,61.9,50.5,0,4,66,0,14.3,82.8,3.1,2,1,0,2,4,5,7.6,461,7.6
Byron Leftwich,1323,QB,ATL,3,69.8,53,58,8.0,2.71,0,0,0.0,55.2,32,0,31,13.5,65,5,13,2,54.9,59.5,65.3,32.5,4,2,66,0,19.4,59.6,9.2,6,1,0,1,1,1,1.5,281,4.8
Brooks Bollinger,1502,QB,MIN,4,76.6,47,50,6.9,2.79,0,1,1.9,66.0,33,0,20,8.3,60,3,19,18,40.9,63.2,68.7,35.3,0,1,63,0,35.0,88.0,11.7,7,3,1,2,1,1,1.6,391,7.8
Patrick Ramsey,1039,QB,DEN,2,79.5,44,48,6.8,2.33,3,0,0.0,60.4,29,0,18,17.1,51,6,13,10,27.7,48.0,51.0,53.2,0,1,53,1,16.7,73.7,5.9,3,0,1,0,1,3,5.7,265,5.5
John Beck,3656,QB,MIA,2,59.1,44,46,8.0,2.6,0,1,2.1,52.2,24,0,15,7.7,52,2,10,17,25.4,44.4,51.5,28.7,0,0,53,0,26.7,67.8,7.7,4,2,0,2,0,1,1.9,245,5.3
