player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Nathan Gerry,11940,LB,PHI,9,0,0,24,45.7,0,5,19,12.9,10.5,2,0,18.4,1,163,21,6,0,45.6,0,2,5,13.0,20.0,1,20.0,0,54,7,2
Chuck Clark,11941,S,BLT,8,1,0,3,51.6,1,3,47,23.3,4.3,2,0,4.3,0,215,50,4,0,53.2,1,2,18,21.1,11.1,2,8.3,0,90,19,3
Tanzel Smart,11944,DI,LA,7,0,0,26,54.1,0,1,59,100.0,1.7,1,1,0.8,0,62,62,1,0,49.4,0,0,19,100.0,0.0,0,0.0,0,20,20,0
Jordan Evans,11947,LB,CIN,5,0,0,7,58.8,0,1,3,21.4,0.0,0,0,16.7,0,14,3,1,0,,0,0,0,0.0,,0,,0,4,0,0
Vincent Taylor,11949,DI,BUF,1,0,0,4,57.4,0,0,4,100.0,0.0,0,0,0.0,0,4,4,0,0,,0,0,0,,,0,,0,0,0,0
Al-Quadin Muhammad,11951,ED,IND,9,0,0,14,58.0,3,11,153,99.4,12.4,19,0,5.2,1,165,164,15,0,61.7,2,5,57,100.0,19.3,11,6.1,0,64,64,7
D.J. Jones,11953,DI,SF,8,0,0,28,64.9,0,6,95,100.0,8.4,8,0,5.3,2,102,102,8,0,51.0,0,2,38,100.0,5.3,2,2.6,0,40,40,2
Brandon Wilson,11962,S,CIN,8,0,0,7,52.1,0,2,5,5.7,0.0,0,0,20.0,0,87,5,2,0,53.0,0,2,3,6.8,0.0,0,33.3,0,44,3,2
Ifeadi Odenigbo,11975,ED,MIN,10,0,0,18,71.3,3,8,121,98.5,15.7,19,0,7.0,3,131,129,14,0,72.2,1,4,64,100.0,15.6,10,8.6,3,68,68,8
Isaac Rochell,11980,ED,LAC,10,0,0,27,48.3,0,4,121,99.2,6.6,8,0,2.5,1,127,126,5,0,49.3,0,2,67,100.0,6.0,4,1.5,0,68,68,2
Joey Ivie,11984,DI,KC,4,0,0,16,52.1,0,2,34,97.3,5.9,2,0,2.9,0,37,36,2,0,53.6,0,2,21,95.7,9.5,2,4.8,0,23,22,2
Treyvon Hester,11999,DI,WAS,6,0,0,32,74.7,0,0,20,100.0,15.0,3,0,5.0,1,20,20,1,0,81.9,0,0,5,100.0,20.0,1,20.0,1,5,5,1
Michael Davis,12040,S,LAC,8,0,0,27,58.6,0,1,2,0.8,0.0,0,4,25.0,0,241,2,1,0,,0,0,0,0.0,,0,,0,114,0,0
Jermaine Grace,12081,ED,ATL,3,0,0,2,58.3,0,0,2,66.7,0.0,0,0,0.0,0,3,2,0,0,,0,0,0,,,0,,0,0,0,0
Bryan Cox Jr.,12092,ED,CAR,1,0,0,5,62.4,0,0,6,100.0,16.7,1,0,0.0,0,7,7,0,0,66.1,0,0,4,100.0,25.0,1,0.0,0,5,5,0
Josh Tupou,12093,DI,CIN,9,0,0,7,53.8,0,4,94,97.1,5.3,5,0,2.1,0,103,100,4,0,58.7,0,3,25,100.0,16.0,4,6.0,0,27,27,3
