player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Sam Eguavoen,15301,LB,MIA,10,10,3.8,0,0,17,53.2,42.6,87.9,49.4,41.0,36.2,15.6,5,0,183,191,6.0,11,17
Jonathan Ledbetter,18645,ED,MIA,1,0,0.7,0,0,17,,74.8,78.7,68.7,69.8,71.8,0.0,0,0,37,38,8.1,3,3
Dee Virgin,21515,CB,DET,1,0,,0,0,11,,51.5,89.4,,60.0,,,0,0,1,1,0.0,0,0
Kemoko Turay,21702,ED,IND,3,1,2.0,0,0,14,60.3,91.3,29.2,91.0,72.1,74.8,0.0,0,1,9,9,22.2,2,2
Dylan Cole,24304,LB,HST,10,1,2.7,0,0,13,54.5,53.0,79.0,68.4,46.6,43.7,42.9,3,1,29,31,10.3,3,3
Nathan Shepherd,24614,DI,NYJ,3,0,-1.3,0,0,22,60.6,69.3,77.6,62.2,62.6,28.1,40.0,2,0,19,21,15.8,3,3
Raven Greene,24750,S,GB,2,1,,0,0,12,60.6,62.2,73.9,62.1,62.9,80.0,0.0,0,0,11,13,0.0,0,0
Foyesade Oluokun,24904,LB,ATL,9,3,4.4,0,0,2,72.1,72.2,0.0,73.1,66.3,69.3,11.1,1,1,65,68,4.6,3,5
Deionte Thompson,25444,S,ARZ,8,0,7.8,0,0,1,52.1,49.5,11.1,65.3,53.1,51.7,16.7,1,2,54,58,3.7,2,5
Levi Wallace,25445,CB,BUF,10,3,6.7,0,0,4,60.5,60.8,87.1,59.0,57.9,55.5,18.2,2,0,198,208,1.0,2,6
Dane Cruikshank,25546,S,TEN,2,0,5.0,0,0,31,60.4,64.6,99.9,60.0,60.0,70.6,0.0,0,0,5,5,0.0,0,1
Sean Murphy-Bunting,25891,CB,TB,8,1,4.8,0,0,30,61.0,59.0,84.7,60.0,46.6,48.7,25.0,2,2,99,102,2.0,2,5
Clelin Ferrell,25955,ED,OAK,9,6,4.8,0,0,23,57.1,50.5,12.2,58.3,55.8,32.1,25.0,6,6,171,181,4.7,8,12
Dexter Lawrence,25991,DI,NYG,10,7,2.4,1,1,21,68.1,81.9,70.5,61.6,87.6,77.2,0.0,0,1,178,182,7.9,14,15
Isaiah Mack,26229,DI,TEN,10,0,5.3,0,0,31,,60.2,42.3,66.9,56.0,72.0,0.0,0,0,56,60,3.6,2,3
Tae Davis,26296,LB,CLV,2,1,1.0,0,0,8,29.6,27.6,76.5,53.9,36.6,76.9,0.0,0,1,25,26,4.0,1,1
Maxx Crosby,26316,ED,OAK,10,6,1.1,0,1,23,67.1,66.6,25.9,68.0,61.4,28.7,26.1,6,5,141,154,5.7,8,11
Craig James,26360,CB,PHI,5,0,3.5,0,0,24,41.0,45.6,76.3,60.0,64.9,49.1,0.0,0,1,25,26,4.0,1,2
Ben Banogu,26554,ED,IND,9,1,1.2,0,0,14,60.4,47.5,56.1,53.8,46.2,59.3,0.0,0,1,60,61,5.0,3,5
C.J. Moore,26617,S,DET,5,0,,0,0,11,64.9,64.9,79.3,59.1,57.5,75.2,,0,0,14,14,0.0,0,0
Jordan Wilkins,26618,HB,IND,1,0,,0,0,14,,59.9,60.0,,60.0,,,0,0,1,1,0.0,0,0
D.J. Reed Jr.,26940,CB,SF,5,1,,0,0,28,77.6,74.6,77.1,59.1,55.3,25.7,0.0,0,0,16,17,0.0,0,0
Siran Neal,27130,CB,BUF,5,1,5.8,0,0,4,63.0,63.5,79.9,50.9,66.3,62.6,10.0,1,0,47,47,8.5,4,8
Montez Sweat,27271,ED,WAS,10,5,2.8,1,0,32,70.4,61.5,27.8,51.3,73.0,66.7,7.7,2,4,191,202,6.8,13,19
Devin Bush,27375,LB,PIT,10,16,4.9,1,0,25,65.5,60.6,1.2,61.0,58.5,69.8,2.1,1,3,240,249,6.3,15,30
David Long Jr.,27377,CB,LA,2,0,,0,0,26,69.1,69.3,74.4,,60.3,74.8,,0,0,5,5,0.0,0,0
Nick Bawden,27413,FB,DET,1,0,,0,0,11,,61.6,60.1,,60.0,,,0,0,1,1,0.0,0,0
Armon Watts,27844,DI,MIN,2,0,2.0,0,0,18,,60.6,76.1,63.1,58.0,71.0,0.0,0,0,13,13,30.8,4,4
Dre'Mont Jones,28075,DI,DEN,8,1,2.5,0,0,10,57.6,69.0,81.8,65.6,66.3,27.4,25.0,1,0,26,27,7.7,2,2
Jerome Baker,28091,LB,MIA,10,11,4.0,1,0,17,60.4,45.9,60.7,57.8,35.6,76.9,8.7,4,1,286,300,7.3,21,31
Bilal Nichols,28451,DI,CHI,7,4,2.4,0,0,6,60.0,52.2,83.5,50.3,54.6,75.4,0.0,0,0,121,126,8.3,10,13
Jimmy Moreland,28704,CB,WAS,9,0,3.8,0,0,32,58.0,52.2,21.4,60.0,37.3,61.8,28.6,2,3,102,109,2.9,3,5
Jermaine Carter,28838,LB,CAR,6,1,2.8,0,0,5,62.0,39.7,77.0,62.9,28.3,56.9,25.0,2,0,52,52,7.7,4,5
DeShon Elliott,28854,S,BLT,4,2,,0,0,3,62.8,69.7,74.6,74.3,66.6,79.4,0.0,0,0,11,12,0.0,0,0
Joejuan Williams,29113,CB,NE,2,0,,0,0,19,70.9,70.7,75.0,,60.8,72.5,,0,0,8,9,0.0,0,0
David Long,29367,LB,TEN,3,1,2.0,0,1,31,51.6,58.8,74.8,54.9,69.4,78.6,0.0,0,0,17,17,11.8,2,2
Germaine Pratt,29407,LB,CIN,9,2,4.8,1,0,7,29.4,34.6,78.1,47.6,56.2,59.1,22.2,4,1,80,84,10.0,8,12
Chris Board,29456,LB,BLT,4,2,1.5,0,0,3,42.5,30.8,77.0,50.2,38.3,79.1,0.0,0,0,27,27,7.4,2,2
T.J. Edwards,30737,LB,PHI,6,3,2.7,0,0,24,69.2,91.7,77.2,,91.6,84.3,0.0,0,0,52,54,9.6,5,6
P.J. Hall,31211,DI,OAK,10,5,1.9,0,0,23,62.4,71.7,85.9,61.2,71.2,49.1,9.5,2,0,144,151,7.6,11,14
George Odum,31342,S,IND,6,0,8.0,1,0,14,64.8,67.7,83.4,74.8,65.1,62.9,33.3,1,1,31,33,0.0,0,2
Khalen Saunders,31534,DI,KC,7,5,2.7,0,0,16,56.2,46.4,84.9,55.4,44.0,75.0,0.0,0,0,116,118,6.9,8,10
Abdullah Anderson,32708,DI,CHI,3,1,2.0,0,0,6,60.0,58.3,78.8,63.4,52.1,71.6,0.0,0,0,32,33,6.3,2,2
DeAndre Baker,33356,CB,NYG,10,0,6.0,1,0,21,30.0,32.2,25.7,,55.0,59.5,20.0,3,7,266,273,2.6,7,12
Shakial Taylor,33464,CB,IND,2,0,,1,0,14,63.8,59.3,77.5,54.5,37.6,61.4,100.0,1,1,7,7,0.0,0,0
Nasir Adderley,33880,S,LAC,1,0,,0,0,27,46.4,42.6,71.5,,60.0,,,0,0,2,2,0.0,0,0
Mike Hughes,34057,CB,MIN,9,1,7.5,2,0,18,50.6,52.4,83.2,58.7,62.3,42.1,25.0,1,2,86,88,0.0,0,2
Kendall Sheffield,34105,CB,ATL,8,0,8.6,1,0,2,58.0,54.5,82.8,47.7,40.9,51.8,22.2,2,3,121,128,0.8,1,7
Kris Boyd,34222,CB,MIN,3,0,,0,0,18,47.2,45.1,76.4,60.0,47.5,45.4,100.0,1,1,7,7,0.0,0,0
Darnell Savage,34247,S,GB,8,3,8.5,1,0,12,64.9,63.0,85.2,50.7,57.1,45.4,20.8,5,1,190,195,2.1,4,16
Johnathan Abram,34646,S,OAK,1,1,27.0,0,0,23,46.2,38.7,0.0,68.2,54.6,45.3,0.0,0,2,18,19,0.0,0,1
Jamel Dean,34918,CB,TB,4,0,7.0,0,0,30,73.9,74.1,85.3,,66.0,63.2,0.0,0,1,23,23,0.0,0,1
Blake Cashman,35413,LB,NYJ,7,4,2.3,0,0,22,58.3,49.1,54.5,58.4,42.4,67.0,5.0,1,2,165,171,6.7,11,15
Kameron Kelly,35978,S,PIT,4,0,4.3,0,0,25,34.2,37.1,81.4,56.8,68.5,41.5,0.0,0,0,44,45,6.8,3,4
Kyle Phillips,36340,ED,NYJ,9,5,0.1,0,0,22,66.8,63.9,51.8,50.1,76.3,67.8,7.7,2,2,148,153,9.5,14,19
Albert Huggins,36862,DI,PHI,3,1,5.0,0,0,24,60.0,75.4,75.5,67.5,69.9,70.0,0.0,0,0,7,9,14.3,1,1
Miles Brown,37161,DI,ARZ,4,0,-1.0,0,0,1,,50.7,77.3,56.9,50.2,68.7,0.0,0,0,16,19,6.3,1,2
Shy Tuttle,37279,DI,NO,10,2,1.4,0,0,20,55.2,63.6,83.5,63.5,63.3,52.6,0.0,0,0,80,83,6.3,5,5
Darryl Johnson,37479,ED,BUF,8,1,4.0,0,0,4,64.5,57.4,49.7,65.0,47.5,33.4,50.0,2,1,71,72,1.4,1,1
Davontae Harris,37492,CB,DEN,6,1,10.0,0,0,10,55.1,55.0,84.6,60.0,53.4,54.6,20.0,1,2,122,124,0.8,1,3
Troy Reeder,38268,LB,LA,7,7,4.0,0,0,26,32.9,35.3,0.0,53.9,50.8,36.5,15.4,4,1,100,102,10.0,10,15
Trey Quinn,38276,WR,WAS,1,0,,0,0,32,,60.0,62.9,,60.0,,,0,1,1,1,0.0,0,0
Bryan Mone,38461,DI,SEA,3,1,3.0,0,0,29,,49.3,81.2,60.8,44.6,68.9,0.0,0,0,30,32,3.3,1,1
Cortez Broughton,38524,DI,LAC,2,0,2.8,0,0,27,,64.9,76.5,64.0,61.6,70.9,0.0,0,0,11,12,27.3,3,5
Matthew Adams,38526,LB,IND,7,0,9.3,0,0,14,37.9,42.1,77.2,52.9,57.5,32.5,25.0,1,0,48,50,2.1,1,3
Folorunso Fatukasi,38558,DI,NYJ,8,4,-0.9,0,0,22,59.5,88.1,83.0,62.2,90.4,75.2,0.0,0,0,115,119,7.8,9,9
