player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Kerryon Johnson,34455,HB,DET,6,14,0,11,0,-4.5,0,100.0,,0,0,0.0,0,2,0,84.5,95.6,0,36,16.7,1,6,2,83.3,5,158.3,2,14.3,1,56,65,32.5,28.0,11.2,,0,,,0,0,,0,0,0,29.8,42.3,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0
Jacob Hollister,12051,TE,SEA,4,14,0,29,0,,0,,,0,0,,0,0,0,,52.5,0,0,50.0,1,2,0,50.0,1,0.0,0,0.0,0,0,0,,,0.0,7.0,0,66.7,50.0,1,2,0.0,0,1,0,80.6,54.1,0,12,15.4,8,52,6,75.0,39,114.6,9,64.3,1,43,8,1.3,7.2,1.1
Ito Smith,45932,HB,ATL,7,14,0,2,0,-3.0,0,100.0,,0,0,0.0,0,0,0,78.7,57.1,0,8,16.7,1,6,1,83.3,5,100.0,1,7.1,0,8,11,11.0,8.0,1.6,5.0,0,0.0,,0,0,,0,0,0,83.6,57.2,0,0,0.0,0,2,0,100.0,2,39.6,1,7.1,0,0,0,,,0.0
Ricky Seals-Jones,12020,TE,CLV,7,14,0,8,0,,0,,,0,0,,0,0,0,,42.9,0,0,0.0,0,8,0,100.0,8,0.0,0,0.0,0,0,0,,,0.0,15.3,0,75.0,100.0,1,1,0.0,0,2,0,65.6,55.0,0,59,0.0,0,50,3,94.0,47,156.3,4,28.6,1,95,47,15.7,31.7,2.02
Byron Pringle,42345,WR,KC,7,14,0,16,0,-4.0,1,100.0,,0,0,0.0,0,0,0,78.7,51.0,0,4,0.0,0,8,1,100.0,8,83.3,1,7.1,0,4,8,8.0,4.0,0.5,13.3,2,85.7,100.0,1,1,0.0,0,4,0,36.9,65.9,1,28,0.0,0,36,6,86.1,31,118.8,7,50.0,1,90,27,4.5,15.0,2.9
Jordan Howard,10784,HB,PHI,9,13,0,24,0,-3.5,2,75.0,,0,0,0.0,0,0,0,88.7,93.7,0,15,22.2,4,18,3,77.8,14,85.4,4,30.8,0,20,32,10.7,6.7,1.43,-6.0,0,100.0,,0,0,0.0,0,0,0,27.8,45.7,0,8,0.0,0,6,1,100.0,6,100.0,1,7.7,0,8,14,14.0,8.0,1.33
Darrel Williams,13014,HB,KC,8,13,0,16,0,-6.0,0,100.0,,0,0,0.0,0,2,0,88.7,94.1,0,16,0.0,0,6,3,100.0,6,102.8,3,23.1,0,26,44,14.7,8.7,4.33,-4.0,0,100.0,,0,0,0.0,0,0,0,83.2,66.1,0,8,0.0,0,5,1,80.0,4,100.0,1,7.7,0,8,12,12.0,8.0,2.0
Dontrelle Inman,6597,WR,LAC,4,13,0,27,0,,0,,,0,0,,0,0,0,,46.8,0,0,0.0,0,6,0,100.0,6,0.0,0,0.0,0,0,0,,,0.0,10.0,0,33.3,33.3,1,3,0.0,0,1,0,44.2,64.9,0,12,0.0,0,30,1,96.7,29,46.5,3,23.1,0,12,0,0.0,12.0,0.41
Jake Kumerow,9883,WR,GB,6,13,0,12,0,4.0,0,100.0,,0,0,0.0,0,0,0,78.7,45.3,0,12,0.0,0,18,1,94.4,17,116.7,1,7.7,0,12,8,8.0,12.0,0.71,41.5,0,50.0,100.0,1,1,0.0,0,1,0,49.6,60.1,0,34,0.0,0,32,1,90.6,29,95.8,2,15.4,0,34,0,0.0,34.0,1.17
Dontrell Hilliard,45691,HB,CLV,7,13,0,8,0,-3.0,2,100.0,,0,0,0.0,0,0,0,90.9,86.2,0,14,0.0,0,12,5,83.3,10,94.2,5,38.5,0,33,48,9.6,6.6,3.3,-1.5,0,100.0,,0,0,0.0,0,1,0,50.4,61.4,0,19,0.0,0,6,2,100.0,6,108.3,2,15.4,0,20,23,11.5,10.0,3.33
Jesse James,9593,TE,DET,8,13,0,11,0,,0,,,0,0,,0,0,0,,41.6,0,0,20.0,2,10,0,80.0,8,0.0,0,0.0,0,0,0,,,0.0,5.7,0,66.7,,0,0,0.0,0,1,0,76.5,50.2,0,15,8.0,2,25,2,92.0,23,85.4,3,23.1,0,20,10,5.0,10.0,0.87
Tevin Coleman,9506,HB,SF,6,13,0,28,0,-4.3,0,83.3,,0,0,16.7,1,2,0,29.2,52.2,0,14,7.7,1,13,5,92.3,12,125.7,6,46.2,1,28,48,9.6,5.6,2.33,2.0,0,100.0,,0,0,0.0,0,1,0,65.6,64.4,0,31,0.0,0,5,1,80.0,4,118.8,1,7.7,0,31,29,29.0,31.0,7.75
Deon Cain,13597,WR,IND,7,13,0,14,0,,0,,,0,0,,0,0,0,,47.1,0,0,0.0,0,9,0,88.9,8,0.0,0,0.0,0,0,0,,,0.0,12.0,0,0.0,,0,0,,0,0,0,29.2,52.2,0,0,0.0,0,9,0,100.0,9,39.6,1,7.7,0,0,0,,,0.0
C.J. Ham,11347,FB,MIN,9,12,0,18,0,-2.0,0,100.0,,0,0,0.0,0,1,0,78.7,62.2,0,32,0.0,0,8,1,100.0,8,118.8,1,8.3,0,32,34,34.0,32.0,4.0,0.0,0,100.0,,0,0,0.0,0,0,0,49.2,48.9,0,0,0.0,0,1,1,100.0,1,79.2,1,8.3,0,0,0,0.0,0.0,0.0
Marcedes Lewis,2973,TE,GB,9,12,0,12,0,-3.0,0,100.0,,0,0,0.0,0,1,0,78.7,82.4,0,15,22.2,2,9,1,77.8,7,118.8,1,8.3,0,15,18,18.0,15.0,2.14,,0,,,0,0,,0,0,0,74.6,66.2,0,0,10.0,1,10,0,90.0,9,0.0,0,0.0,0,0,0,,,0.0
Pharoh Cooper,10751,WR,ARZ,6,12,0,1,0,-3.0,2,100.0,,0,0,0.0,0,1,0,90.6,87.9,0,7,0.0,0,13,4,84.6,11,87.5,4,33.3,0,20,32,8.0,5.0,1.82,4.1,2,90.9,100.0,1,1,9.1,1,4,0,61.3,68.3,0,28,2.0,1,50,10,92.0,46,99.6,11,91.7,0,87,45,4.5,8.7,1.89
Keelan Cole,51593,WR,JAX,9,12,0,15,0,-1.3,0,100.0,,0,0,0.0,0,1,0,88.7,74.3,0,19,0.0,0,9,3,88.9,8,105.6,3,25.0,0,28,32,10.7,9.3,3.5,12.2,0,77.8,100.0,2,2,0.0,0,5,0,65.6,66.4,1,31,0.0,0,55,7,100.0,55,101.4,9,75.0,2,75,13,1.9,10.7,1.36
Marlon Mack,11898,HB,IND,8,12,0,14,0,,0,,,0,0,,0,0,0,,42.4,0,0,7.7,1,13,0,92.3,12,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,79.4,51.1,0,0,0.0,0,6,0,100.0,6,0.0,0,0.0,0,0,0,,,0.0
Wayne Gallman,11895,HB,NYG,8,12,0,21,0,-6.0,1,100.0,,0,0,0.0,0,1,0,88.7,95.6,0,21,0.0,0,6,2,83.3,5,89.6,2,16.7,0,11,23,11.5,5.5,2.2,,0,,,0,0,,0,0,0,66.7,58.9,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Adam Shaheen,11800,TE,CHI,8,12,0,6,0,0.0,0,100.0,,0,0,0.0,0,1,0,78.7,76.8,0,18,11.1,1,9,1,88.9,8,118.8,1,8.3,0,18,18,18.0,18.0,2.25,5.8,0,75.0,0.0,0,1,0.0,0,1,0,81.7,57.1,0,18,0.0,0,25,3,96.0,24,96.9,4,33.3,0,31,21,7.0,10.3,1.29
DeAndre Washington,10777,HB,OAK,8,11,0,23,0,-3.0,1,100.0,,0,0,0.0,0,0,0,78.7,88.6,0,7,0.0,0,4,1,100.0,4,95.8,1,9.1,0,7,10,10.0,7.0,1.75,,0,,,0,0,,0,0,0,45.7,65.5,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Jeff Heuerman,9525,TE,DEN,8,11,0,10,0,0.0,0,100.0,,0,0,0.0,0,0,0,78.7,48.3,0,7,37.5,3,8,1,62.5,5,95.8,1,9.1,0,7,7,7.0,7.0,1.4,,0,,,0,0,,0,0,0,73.4,49.9,0,0,0.0,0,9,0,88.9,8,0.0,0,0.0,0,0,0,,,0.0
