player_name,primary_tour,last_played,playing_this_week,last_5_finishes,trend_index,baseline_index
"Bland, Richard",PGA,"Jun 11, 2022",pga,T66 - CUT - CUT - CUT - T17,-0.57761,-0.7632425882352941
"Petefish, Christopher",KFT,"Jun 12, 2022",web,T24 - T31 - T3 - CUT - CUT,-0.5782469999999991,0.9231248000000012
"Armitage, Marcus",EURO,"Jun 5, 2022",no,T5 - CUT - T21 - T31 - T64,-0.5836519999999996,-0.37529638775510166
"Albertse, Louis",AFR,"Jun 12, 2022",no,T9 - T2 - T15 - T5 - 3,-0.5919514999999995,1.0863636282051283
"Mullinax, Trey",PGA,"Jun 12, 2022",no,T24 - CUT - T32 - CUT - 69,-0.5936409999999994,-0.06816392134831406
"Lee, Min Woo",PGA,"Jun 5, 2022",pga,CUT - T14 - CUT - CUT - CUT,-0.6077809999999997,-0.5433835609756095
"Wikstrom, Joakim",CHA,"Jun 12, 2022",no,CUT - CUT - CUT - CUT - T8,-0.6123729999999996,0.7021925844155839
"Nakajima, Keita",JPN,"Jun 5, 2022",pga,41 - CUT - T7 - T32 - T11,-0.6124969999999992,0.3482615416666678
"Hojgaard, Rasmus",EURO,"Jun 12, 2022",no,T42 - T16 - T10 - T51 - CUT,-0.6201904999999999,-0.6373232272727272
"Ledesma, Nelson",KFT,"Jun 12, 2022",web,CUT - T47 - T13 - T47 - T7,-0.6278775000000004,1.3562932272727277
"Toledo, José",SAM,"Jun 12, 2022",no,T3 - 1 - T17 - 8 - CUT,-0.6288039999999999,0.5155339545454545
"Quayle, Anthony",JPN,"Jun 12, 2022",no,T39 - T16 - 2 - 4 - MC,-0.6300650000000003,1.0114066494845348
"Bennett, Sam",AM,"May 30, 2022",pga,T22 - 3 - T5 - T29 - 10,-0.6351289999999994,0.3301529565217395
"Byrd, Jonathan",PGA,"Jun 12, 2022",no,T70 - CUT - T15 - CUT - CUT,-0.6396694999999998,-0.28286829310344813
"Dougherty, Kevin",KFT,"Jun 5, 2022",web,T9 - T22 - T60 - T41 - T52,-0.6425090000000007,0.39406280555555506
"VanDerLaan, John",KFT,"Jun 12, 2022",web,T11 - CUT - 72 - T7 - T37,-0.647373,0.19933200000000006
"Freiburghaus, Jeremy",CHA,"Jun 12, 2022",no,CUT - 4 - 2 - T9 - CUT,-0.6570545000000002,0.8548529074074066
"Jamieson, Scott",EURO,"Jun 5, 2022",no,T10 - CUT - CUT - CUT - T34,-0.6684590000000002,-0.09118393670886105
"Forrest, Grant",EURO,"Jun 5, 2022",no,T55 - CUT - T9 - T43 - W/D,-0.6728210000000008,-0.08148605494505556
"Detry, Thomas",EURO,"Jun 5, 2022",no,T15 - T54 - CUT - CUT - T29,-0.674116,-0.4811196144578313
"Veerman, Johannes",EURO,"Jun 12, 2022",no,CUT - CUT - CUT - T10 - T20,-0.6813245000000001,-0.6144618417721521
