player_name,sg_putt_pred,sg_putt_rank,sg_arg_pred,sg_arg_rank,sg_app_pred,sg_app_rank,sg_ott_pred,sg_ott_rank,sg_total_pred,sg_total_rank,distance_pred,distance_rank,accuracy_pred,accuracy_rank
"Mullinax, Trey",-0.220,343,-0.173,319,-0.176,207,0.215,79,-0.355,195,16.286,20,-0.083,394
"Brehm, Ryan",-0.380,400,-0.358,414,-0.351,285,0.135,115,-0.954,309,15.463,21,-0.115,420
"List, Luke",-0.330,387,0.056,123,0.435,33,0.646,12,0.808,40,15.371,22,-0.030,284
"Mansell, Richard",-0.146,301,-0.159,306,-0.001,141,0.457,27,0.151,117,14.671,23,-0.022,250
"Johnson, Dustin",0.127,108,0.132,70,0.553,24,0.370,41,1.182,25,14.634,24,-0.038,303
"Crocker, Sean",-0.544,425,-0.289,396,-0.034,160,0.283,63,-0.585,242,14.198,25,-0.019,240
"Tarren, Callum",-0.062,235,-0.155,302,-0.136,193,0.068,144,-0.285,181,14.141,26,-0.086,402
"Arnaus, Adri",0.371,16,-0.104,262,-0.055,176,0.181,99,0.393,88,14.015,27,-0.069,373
"Zalatoris, Will",0.012,181,0.081,108,0.779,6,0.778,4,1.651,8,13.972,28,-0.029,281
"Hojgaard, Rasmus",0.007,186,0.007,157,0.037,127,0.083,136,0.133,121,13.921,29,-0.067,369
"Thomas, Justin",0.368,17,0.335,3,0.882,2,0.607,15,2.192,2,13.692,30,-0.025,258
"Kitayama, Kurt",-0.160,308,-0.044,203,0.168,87,0.138,113,0.102,125,13.523,31,-0.069,372
"Shinkwin, Callum",-0.046,220,-0.321,409,-0.403,303,0.293,61,-0.476,216,13.457,32,-0.067,370
"Scheffler, Scottie",0.315,33,0.337,2,0.911,1,0.557,20,2.120,3,12.788,33,0.007,160
"Koepka, Brooks",0.128,107,0.036,138,0.273,61,0.358,47,0.795,42,12.697,34,-0.052,347
"Niemann, Joaquin",0.220,63,0.128,74,0.555,23,0.702,6,1.604,10,12.466,35,-0.022,249
"McCumber, Tyler",-0.225,346,-0.142,295,-0.279,254,-0.239,258,-0.885,297,12.453,36,-0.039,307
"Kokrak, Jason",0.171,83,-0.052,212,0.228,72,0.416,33,0.763,45,11.866,37,0.005,170
"Mitchell, Keith",0.216,64,0.011,153,0.140,97,0.663,11,1.030,33,11.588,38,0.008,159
"Uihlein, Peter",0.068,144,0.091,101,-0.029,154,-0.102,210,0.027,138,11.018,39,-0.136,428
"Barjon, Paul",-0.249,359,-0.378,418,-0.174,205,0.328,54,-0.473,215,10.872,40,-0.013,225
"Herbert, Lucas",0.592,1,0.183,43,-0.177,208,-0.152,231,0.446,79,10.732,41,-0.074,382
"Burns, Sam",0.515,4,0.130,73,0.654,13,0.260,67,1.560,11,10.709,42,-0.009,211
"Pulkkanen, Tapio",0.081,136,0.077,113,-0.395,300,-0.448,328,-0.686,264,10.577,43,-0.116,421
"Canter, Laurie",-0.119,275,-0.247,375,0.090,111,0.401,35,0.125,122,10.135,44,-0.012,223
"Besseling, Wil",-0.015,203,-0.206,349,-0.296,257,0.384,37,-0.134,163,10.121,45,-0.009,212
"Rodgers, Patrick",0.241,55,-0.051,208,-0.013,145,0.199,89,0.377,90,10.096,46,-0.052,348
"Tway, Kevin",0.121,113,-0.007,179,-0.432,311,-0.178,238,-0.495,223,10.062,47,-0.086,400
"Woodland, Gary",0.006,188,0.013,151,0.337,45,0.304,60,0.660,56,10.034,48,-0.027,267
"Reeves, Seth",-0.152,302,-0.290,398,-0.523,337,0.249,71,-0.716,274,10.008,49,-0.026,265
"Rozner, Antoine",-0.230,349,-0.137,290,-0.165,202,0.013,167,-0.519,231,9.973,50,-0.029,277
"Thompson, Curtis",-0.182,325,-0.190,334,-0.355,286,0.009,170,-0.717,275,9.901,51,-0.077,387
"Garcia, Sergio",-0.052,224,0.041,135,0.329,46,0.505,24,0.822,39,9.818,52,0.009,153
"Higgo, Garrick",-0.005,197,-0.298,400,-0.102,187,0.043,153,-0.362,197,9.641,53,-0.038,304
"Hovland, Viktor",0.306,36,-0.261,383,0.652,14,0.623,13,1.320,18,9.606,54,0.044,63
"Schauffele, Xander",0.246,51,0.187,41,0.741,8,0.379,38,1.553,12,9.427,55,0.029,100
"Murray, Grayson",-0.506,418,-0.160,307,0.004,138,0.042,154,-0.620,249,9.376,56,-0.084,395
"Smith, Jordan",-0.195,333,-0.052,213,0.119,103,0.741,5,0.613,60,9.208,57,0.054,47
"Du Plessis, Hennie",0.077,138,0.050,130,-0.231,230,0.374,39,0.270,99,9.127,58,-0.044,323
"Scott, Adam",0.165,88,-0.108,265,0.348,43,0.135,117,0.540,65,9.015,59,-0.029,283
"Detry, Thomas",0.041,157,-0.123,275,-0.263,251,0.203,86,-0.143,164,8.984,60,-0.042,313
"Van Meijel, Lars",-0.138,292,-0.073,236,-0.545,343,-0.540,358,-1.295,355,8.873,61,-0.121,425
"Harrington, Scott",-0.218,342,-0.130,280,-0.784,388,-0.311,288,-1.442,366,8.832,62,-0.020,243
"Forrest, Grant",0.118,114,-0.058,218,-0.527,338,-0.221,251,-0.688,265,8.804,63,-0.073,379
"Hossler, Beau",0.502,5,0.127,76,-0.445,313,-0.078,201,0.107,123,8.652,64,-0.058,353
"Stone, Brandon",-0.204,336,-0.231,363,-0.334,277,0.031,159,-0.738,278,8.647,65,-0.039,306
"De Jager, Louis",-0.429,407,0.005,161,-0.255,244,-0.243,263,-0.922,304,8.522,66,-0.071,376
"Homa, Max",0.225,60,-0.004,174,0.566,22,0.440,29,1.226,22,8.506,67,0.010,149
"Finau, Tony",0.157,95,0.182,44,0.537,25,0.558,19,1.434,14,8.494,68,-0.022,253
"Ritchie, JC",-0.235,351,-0.280,391,-0.032,157,0.158,105,-0.388,200,8.435,69,-0.028,276
"Meronk, Adrian",0.322,32,-0.166,313,-0.251,243,0.586,17,0.490,72,8.344,70,-0.008,207
"Enoch, Rhys",-0.138,294,-0.289,395,-0.972,407,-0.344,299,-1.743,391,8.215,71,-0.101,414
"An, Byeong Hun",-0.320,383,0.052,128,-0.106,188,-0.091,207,-0.465,212,8.159,72,-0.077,388
"Wolfe, Jared",-0.168,315,-0.157,303,-0.307,262,-0.272,271,-0.904,300,8.157,73,-0.063,362
"Smalley, Alex",-0.128,284,-0.033,194,0.237,67,0.360,46,0.436,81,8.123,74,0.024,115
"Davis, Cameron",0.170,85,0.011,154,0.280,60,0.050,149,0.512,70,8.016,75,-0.063,361
