player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Robert McClain,5771,CB,CAR,10,5,0,86.2,1,0,5,49.0,47.8,30.5,57.2,51.0,30.5,0,2,0,29,22.5,9,2,2,130.7,25,1,29,105,205,313,12,0,0,12,0,2,301,10,98,165,11,26,29,3,2,286,121,11.4
Rafael Bush,5779,S,DET,13,6,0,70.8,0,0,11,64.3,67.0,84.9,82.9,63.3,71.5,0,1,2,27,9.5,4,1,0,61.1,17,1,102,8,312,445,7,0,0,7,0,268,438,8,125,60,12,32,24,2,1,120,60,7.1
Kyle Love,5806,DI,CAR,8,3,0,,0,0,5,60.0,43.0,49.8,57.1,39.7,44.7,0,5,0,,10.0,1,0,1,0.0,0,1,0,0,0,180,180,35,119,0,26,0,0,108,72,0,4,6,0,6,0,0,0,
Vincent Rey,5811,LB,CIN,13,11,1,71.4,0,0,7,75.7,76.5,82.8,53.8,72.8,67.7,0,2,1,23,6.7,4,2,1,91.4,25,0,400,1,259,473,32,0,0,32,0,4,441,26,188,36,28,45,35,2,2,190,111,7.6
Darian Stewart,5820,S,DEN,13,4,0,66.7,1,0,10,82.2,79.6,40.1,48.8,75.8,71.4,1,0,3,24,12.7,8,2,2,60.8,16,0,233,25,508,879,18,0,0,18,0,551,861,16,355,52,12,51,24,1,1,166,77,10.4
Ben Garland,5839,DI,ATL,8,0,0,,0,0,2,60.0,61.2,77.3,59.0,60.3,72.2,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,33,33,17,12,0,4,0,0,17,16,0,3,4,0,0,0,0,0,
Tramaine Brock Sr.,5903,CB,SF,13,4,0,50.6,2,1,28,59.3,62.4,65.6,43.1,73.5,73.9,0,1,0,59,8.9,5,9,7,98.0,40,0,84,814,500,931,6,0,0,6,0,1,925,0,431,26,10,47,79,1,5,618,107,15.5
Chris Maragos,5906,S,PHI,2,0,0,,0,0,24,,43.2,69.5,,60.0,,0,0,0,,,0,0,0,0.0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,
Barry Church,5924,S,DAL,9,12,0,80.0,0,2,9,85.5,88.5,86.2,58.2,84.4,74.1,1,1,2,26,11.3,8,3,1,59.0,20,0,143,3,342,516,15,0,0,15,0,325,501,9,165,30,13,51,25,2,0,154,69,7.7
Sam Shields,5943,CB,GB,1,0,0,57.1,0,0,12,39.9,47.8,78.1,,72.9,77.5,0,0,0,22,0.0,0,0,0,77.1,4,0,5,53,35,62,1,0,0,1,0,0,61,0,27,3,2,4,7,0,0,46,26,11.5
