player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Roy Miller,5004,DI,JAX,2,0,,,4.0,,,0,0,0,,15,60.1,68.5,79.3,57.6,69.3,72.5,0,,,0,0,0,0.0,0,1,25,0,0,0,0,0,0,0.0,
Lardarius Webb,5011,S,BLT,2,0,8.5,100.0,97.0,31.0,31.0,0,0,0,0.0,3,52.2,52.6,77.1,55.7,62.8,33.7,0,28,42.9,3,0,0,118.8,2,65,67,0,4,2,0,33,16,0.5,16.5
Rashad Johnson,5018,S,TEN,2,0,,,98.5,,,0,0,0,,31,56.7,57.2,77.9,60.0,60.8,28.0,0,,50.0,2,0,0,0.0,0,66,67,1,2,0,0,0,0,0.0,
Glover Quin,5035,S,DET,2,2,17.7,66.7,98.9,44.0,29.3,0,0,1,33.3,11,71.9,70.5,78.9,60.0,47.7,52.8,1,7,14.3,1,0,0,70.1,2,94,95,0,4,3,1,9,0,0.1,4.5
David Bruton,5037,S,WAS,2,1,4.7,71.4,97.3,13.8,9.9,0,0,1,14.3,32,54.8,52.4,76.6,57.5,53.1,27.7,0,28,50.0,4,1,0,135.1,5,72,74,0,3,7,1,57,39,0.8,11.4
Greg Toler,5055,CB,WAS,2,0,31.0,100.0,100.0,3.0,3.0,0,0,0,0.0,32,35.3,34.8,69.1,,60.0,,0,42,,0,0,0,118.8,1,4,4,0,0,1,0,42,11,14.0,42.0
Brice McCain,5112,CB,TEN,2,0,10.7,77.8,97.2,8.9,6.9,1,0,1,11.1,31,57.4,58.8,79.2,58.9,64.9,45.9,0,24,20.0,1,1,1,146.8,7,70,72,1,4,9,1,93,18,1.5,13.3
Jason McCourty,5127,CB,TEN,2,0,14.2,44.4,100.0,10.0,4.4,0,0,2,11.1,31,57.3,59.5,81.4,,68.4,81.8,0,33,0.0,0,0,0,63.4,8,88,88,2,9,18,0,105,26,1.3,13.1
Captain Munnerlyn,5140,CB,MIN,2,0,6.4,62.5,92.1,13.0,8.1,1,0,1,12.5,18,69.8,69.4,78.8,49.9,71.4,75.9,0,14,0.0,0,1,1,75.5,5,70,76,1,3,8,0,41,22,0.6,8.2
Clinton McDonald,5173,DI,TB,2,1,,,4.4,,,0,0,0,,30,58.7,43.0,80.8,55.4,39.4,24.9,0,,0.0,0,0,0,0.0,0,3,68,0,0,0,0,0,0,0.0,
