player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Khari Lee,10018,TE,BUF,2,0,4,28.8,0,0,8,47.1,47.4,100.0,1,0,0,9,19,,0,0,0,0.0,0.0,,0,0,0,5
Marshall Newhouse,5692,T,CAR,7,0,5,78.0,0,0,7,87.5,90.0,100.0,0,0,0,9,10,72.5,0,0,0,,100.0,,0,0,1,1
Gerald Everett,11799,TE,LA,13,0,26,52.1,0,1,9,4.8,4.5,83.3,0,2,1,9,202,71.7,0,0,1,0.8,0.7,100.0,0,0,1,138
Blake Bell,9550,TE,JAX,7,0,15,76.5,0,0,9,9.8,9.3,100.0,0,0,0,9,97,73.0,0,0,2,4.7,4.5,100.0,0,0,2,44
Jay Ajayi,9582,HB,PHI,4,0,24,40.0,0,2,8,12.1,13.0,87.5,0,2,0,9,69,22.5,0,2,3,11.1,13.3,66.7,2,0,4,30
Tommy Bohanon,7997,FB,JAX,12,0,15,81.3,0,0,9,25.0,23.1,100.0,0,0,0,9,39,75.8,0,0,2,20.0,20.0,100.0,0,0,2,10
Jordan Akins,47050,TE,HST,13,0,13,27.2,1,0,6,3.7,5.1,91.7,1,1,0,9,176,,0,0,0,0.0,0.0,,0,0,0,92
Mark Walton,45996,HB,CIN,7,0,7,60.1,0,0,9,13.8,12.2,88.9,0,1,1,9,74,53.0,0,0,7,21.2,18.9,85.7,1,1,7,37
Ian Thomas,42130,TE,CAR,9,0,5,74.9,0,0,9,4.3,4.0,100.0,2,0,0,9,225,66.3,0,0,1,1.0,0.9,100.0,0,0,1,112
Brian Parker,10135,TE,DEN,7,0,10,43.5,0,0,7,24.1,25.8,100.0,1,0,0,8,31,,0,0,0,0.0,0.0,,0,0,0,12
Blake Jarwin,12320,TE,DAL,13,0,9,63.6,0,0,7,4.3,4.6,100.0,1,0,0,8,175,51.9,0,0,3,3.3,3.0,100.0,0,0,3,100
DeAndre Washington,10777,HB,OAK,5,0,23,70.9,0,1,8,29.6,28.6,93.7,0,1,0,8,28,80.2,0,0,4,28.6,28.6,100.0,0,0,4,14
Ben Braunecker,11335,TE,CHI,10,0,6,70.8,1,0,6,17.6,18.6,91.7,0,1,0,8,43,69.3,0,0,1,5.6,4.5,100.0,0,0,1,22
Matt Lengel,9884,TE,CIN,7,0,7,66.8,0,1,8,25.8,23.5,93.7,0,1,0,8,34,,0,0,0,0.0,0.0,,0,0,0,8
Joshua Garnett,10662,G,SF,2,0,28,66.3,0,1,7,100.0,100.0,92.9,0,1,0,8,8,31.1,0,1,1,100.0,100.0,50.0,1,0,2,2
Ronald Jones,34001,HB,TB,6,0,30,70.8,0,0,8,14.0,13.6,100.0,0,0,0,8,59,78.8,0,0,2,9.1,9.1,100.0,0,0,2,22
Jamize Olawale,7572,FB,DAL,13,0,9,83.6,0,1,7,22.6,24.2,92.9,0,1,0,8,33,,0,0,0,0.0,0.0,,0,0,0,3
C.J. Ham,11347,FB,MIN,12,0,18,83.9,0,0,7,11.1,10.8,100.0,0,0,0,7,65,78.4,0,0,2,8.7,8.3,100.0,0,0,2,24
Jaylen Samuels,47297,HB,PIT,8,0,25,84.7,0,0,7,9.6,9.2,100.0,0,0,0,7,76,81.7,0,0,4,11.8,10.8,100.0,0,0,4,37
Jeff Wilson Jr.,29413,HB,SF,3,0,28,82.8,0,0,6,7.4,8.0,100.0,0,0,0,7,87,76.6,0,0,2,5.3,4.9,100.0,0,0,2,41
Cooper Kupp,11824,WR,LA,8,0,26,79.9,0,0,7,2.7,2.6,100.0,0,0,0,7,271,,0,0,0,0.0,0.0,,0,0,0,109
Tre Madden,11286,FB,SEA,11,0,29,45.2,0,1,6,26.1,29.2,91.7,0,1,0,7,24,75.8,0,0,2,66.7,66.7,100.0,0,0,2,3
