player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Alex Smith,2218,QB,KC,5,2.71,2.43,3.18,5.47,186,16,81.7,93,98,4.5,1.85,5,1,1.0,70.4,69,13,9.2,100,53.8,7,45,,,,,55.5,64.8,80.7,,64.2,,,,,,0,2,104,15.4,106.5,2.0,2,0,0,0,8,4,3.8,635,6.5,76.5,51,61,11.0,3.71,1,4,5.9,52.5,32,47,17.9,86,46.2,7,29,,,,,84.4,71.2,0.0,,75.6,,,50.9,,,2,2,93,23.4,67.0,12.8,11,14,0,7,1,3,3.2,431,7.1
Ryan Fitzpatrick,2467,QB,HST,6,2.61,2.38,3.3,4.76,183,13,81.3,91,100,5.0,1.89,4,4,3.7,70.0,70,24,5.4,104,56.8,4,35,,,,,85.7,75.2,81.0,,73.8,,,,,,5,3,112,16.7,89.8,3.8,4,0,0,0,4,1,0.9,686,6.9,67.9,53,59,12.9,3.55,1,2,3.0,57.6,34,45,5.6,79,43.2,2,30,,,,,25.9,65.9,0.0,,63.9,,,69.5,,,1,3,90,15.6,81.3,8.9,7,13,0,4,2,5,5.6,582,9.9
Derek Carr,8671,QB,OAK,5,2.54,2.47,3.27,4.44,175,23,79.7,74,81,6.5,1.79,6,3,3.6,66.7,54,13,8.5,81,46.3,5,24,,,,,83.7,72.2,0.0,,72.1,,,,,,0,1,84,0.0,92.3,0.0,0,0,0,1,4,2,2.4,454,5.6,70.1,77,86,9.6,3.18,2,2,2.2,55.8,48,44,11.1,94,53.7,6,31,,,,,55.7,48.2,80.6,,49.4,,,54.2,,,3,4,102,6.8,71.9,3.2,3,5,0,4,4,8,7.8,562,6.5
Russell Wilson,7077,QB,SEA,5,3.13,2.87,3.65,4.82,168,29,80.9,68,69,4.2,1.85,1,1,1.4,76.8,53,12,3.6,71,42.3,2,24,,,,,82.9,66.5,79.4,,65.7,,,,,,0,0,74,16.7,125.9,2.8,2,0,0,0,7,2,2.7,431,6.2,74.6,59,70,10.7,4.06,0,4,5.4,55.7,39,57,11.4,97,57.7,5,27,,,,,34.7,60.0,80.7,,57.9,,,64.6,,,1,2,104,15.8,73.9,9.3,9,18,0,10,1,6,5.8,547,7.8
Andy Dalton,6187,QB,CIN,5,2.26,2.17,2.85,4.82,158,7,80.6,98,100,5.8,1.82,1,7,6.4,74.0,74,12,6.3,100,63.3,5,42,,,,,85.5,90.0,80.9,,87.5,,,,,,0,1,109,0.0,106.2,0.0,0,0,0,1,4,0,0.0,799,8.0,69.6,46,51,12.2,3.03,1,3,5.5,56.9,29,18,9.4,58,36.7,3,16,,,,,81.8,63.6,78.8,,62.9,,,61.6,,,0,2,63,11.1,83.0,3.4,2,5,0,4,2,3,4.8,450,8.8
Blake Bortles,8638,QB,JAX,4,2.52,2.38,3.51,4.44,158,15,82.0,89,92,5.2,1.89,2,0,0.0,75.0,69,15,5.5,93,58.9,4,26,,,,,84.6,57.5,80.3,,57.5,,,,,,1,2,95,6.7,96.1,1.1,1,0,0,0,4,4,4.2,575,6.3,64.6,48,50,11.8,3.42,1,3,5.6,56.0,28,33,9.7,65,41.1,3,24,,,,,44.6,59.7,79.3,,50.7,,,91.6,,,1,5,71,30.3,44.9,15.4,10,5,0,0,0,4,5.6,429,8.6
Brian Hoyer,5277,QB,CLV,5,2.69,2.61,3.62,5.45,158,8,75.7,70,76,4.6,1.86,3,0,0.0,67.1,51,10,3.8,76,48.1,2,23,,,,,83.6,68.2,79.8,,67.4,,,,,,1,0,82,0.0,92.7,0.0,0,0,0,2,3,1,1.2,393,5.2,62.7,67,74,17.1,3.45,3,11,13.6,54.1,40,34,4.8,82,51.9,2,36,,,,,84.2,76.3,0.0,,77.3,,,49.0,,,0,1,90,17.6,106.8,7.3,6,2,0,4,4,6,6.7,839,11.3
Mike Glennon,7854,QB,TB,4,2.68,2.62,3.42,4.2,151,30,65.7,67,69,9.3,2.0,0,2,2.9,56.5,39,23,11.4,71,47.0,5,20,,,,,82.7,46.7,79.3,,47.6,,,,,,2,1,72,8.7,88.0,2.8,2,0,0,0,5,4,5.6,342,5.0,67.7,65,72,14.4,3.29,0,6,7.2,58.3,42,45,4.5,80,53.0,2,25,,,,,84.4,75.3,80.3,,73.8,,,62.1,,,3,2,93,15.6,85.6,8.8,7,1,0,4,2,2,2.2,644,8.9
E.J. Manuel,7797,QB,BUF,4,2.76,2.48,3.62,5.86,146,4,71.0,69,72,5.4,1.89,1,4,5.3,59.7,43,19,12.2,72,49.3,6,24,,,,,83.0,63.3,79.5,,62.8,,,,,,0,2,75,0.0,78.5,0.0,0,0,0,2,3,2,2.7,421,5.8,64.2,53,58,10.4,3.6,0,1,1.6,56.9,33,34,2.9,74,50.7,1,16,,,,,46.3,46.8,0.0,,55.3,,,37.5,,,0,1,77,17.6,84.2,8.1,6,10,0,5,2,5,6.5,423,7.3
Jake Locker,6160,QB,TEN,4,2.92,2.52,4.04,5.39,135,31,70.7,58,59,8.0,1.91,0,1,1.7,62.7,37,19,9.8,60,44.4,4,20,,,,,81.5,57.7,78.6,,58.1,,,58.3,,,1,1,60,0.0,91.8,0.0,0,1,0,0,3,2,3.3,391,6.6,64.0,50,53,12.9,3.73,1,1,1.7,52.8,28,35,12.5,75,55.6,4,25,,,,,48.9,47.2,79.7,,44.8,,,63.8,,,1,3,81,25.7,58.1,12.0,9,13,0,1,1,5,6.2,373,7.0
