player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Johnson Bademosi,7374,CB,CLV,1,0,8,0,0,0,0,0,0,,0,0,,0,0,0,0,100.0,1,1,0,0.0,0,0,0,0,,0,0,,0,0,0,0,0,0
Leonard Johnson,7385,CB,TB,4,0,30,0,0,0,0,0,0,85.7,6,0,0.0,0,1,1,0,9.9,8,81,0,0.0,0,0,0,0,14.3,1,0,0.0,0,0,0,0,1,1
Kelcie McCray,7396,S,KC,1,0,16,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,33.3,1,3,0,0.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
Barry Church,5924,S,DAL,4,0,9,0,0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0.7,1,141,0,0.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Aaron Berry,5871,CB,CLV,1,0,8,0,0,0,0,0,0,,0,0,,0,0,0,1,100.0,1,1,0,0.0,0,0,0,0,,0,0,,0,0,0,0,0,0
LaRon Byrd,7486,WR,CLV,1,0,8,0,0,0,0,0,0,,0,0,,0,0,0,0,100.0,1,1,0,0.0,0,0,0,0,,0,0,,0,0,0,0,0,0
Cassius Vaughn,5845,CB,DET,1,0,11,0,0,0,0,0,0,33.3,1,0,0.0,0,0,0,0,15.0,3,20,0,0.0,0,0,0,0,66.7,2,0,0.0,0,0,0,0,0,0
Eddie Pleasant,7593,S,HST,1,0,13,0,0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,8.3,1,12,0,0.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Darian Stewart,5820,S,BLT,4,0,3,0,0,0,0,0,0,40.0,2,0,0.0,0,0,0,0,4.5,6,133,0,0.0,0,0,0,0,60.0,3,0,0.0,0,0,0,0,0,0
Sergio Brown,5803,S,IND,2,0,14,0,0,0,0,0,0,,0,0,,0,0,0,0,16.7,2,12,0,0.0,0,0,0,0,,0,0,,0,0,0,0,0,0
