player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Julio Jones,6158,WR,ATL,9,14.1,5,66.2,35.0,7,20,0,5.8,3,34,2,0,67.5,79.1,90.3,,90.2,0.0,0,1,53,0.0,0,257,1,49,96.5,248,23.7,61,96.4,74,1,76.3,196,715,238,4.9,14.6,2.88
Amari Cooper,9437,WR,OAK,9,11.4,6,53.5,20.0,3,15,0,20.8,10,22,23,1,28.5,45.9,62.1,,61.0,0.0,0,4,45,0.0,0,343,0,38,93.3,320,22.2,76,64.4,71,3,77.3,265,462,198,5.2,12.2,1.44
Keenan Allen,7857,WR,LAC,9,9.9,3,62.9,41.2,7,17,2,15.4,8,33,27,0,33.5,78.9,73.5,66.2,72.7,0.0,0,2,50,0.3,1,328,5,44,92.4,303,50.0,164,82.8,70,1,50.0,164,596,212,4.8,13.5,1.97
Mike Evans,8642,WR,TB,8,14.1,1,57.1,44.4,12,27,1,7.0,3,31,30,1,66.5,78.1,76.0,,75.5,0.0,0,2,41,0.0,0,332,3,40,95.2,316,18.1,60,88.5,70,4,81.9,272,532,65,1.6,13.3,1.68
A.J. Green,6156,WR,CIN,9,13.8,7,63.8,60.0,12,20,0,2.2,1,29,7,1,83.9,31.2,85.3,,85.3,0.0,0,5,77,0.0,0,291,1,44,96.9,282,11.7,34,91.0,69,5,88.0,256,693,229,5.2,15.8,2.46
Devin Funchess,9474,WR,CAR,10,12.5,4,62.3,53.3,8,15,0,2.3,1,28,5,0,76.8,78.8,73.2,,73.2,0.6,2,3,33,0.0,0,347,2,43,94.5,328,23.3,81,92.4,69,5,76.1,264,535,210,4.9,12.4,1.63
Golden Tate,5585,WR,DET,9,6.4,17,81.2,50.0,3,6,0,3.4,2,28,11,1,81.2,43.1,84.5,,84.0,0.3,1,2,45,0.0,0,319,0,56,93.7,299,79.9,255,108.9,69,3,19.7,63,659,388,6.9,11.8,2.2
Alshon Jeffery,7048,WR,PHI,9,15.2,1,50.0,39.3,11,28,2,8.1,3,25,24,0,63.4,77.6,69.4,,70.6,0.0,0,0,53,0.0,0,319,6,34,93.7,299,16.9,54,98.9,68,5,83.1,265,500,151,4.4,14.7,1.67
Marqise Lee,8674,WR,JAX,9,11.9,8,56.7,41.7,5,12,0,15.6,7,25,15,1,35.9,80.8,75.0,,74.2,0.3,1,3,45,0.0,0,304,4,38,93.8,285,12.5,38,71.3,67,2,87.2,265,493,225,5.9,13.0,1.73
Jack Doyle,8520,TE,IND,9,5.3,6,77.6,41.7,5,12,0,7.1,4,18,14,2,66.0,24.9,66.7,59.8,63.9,27.6,89,1,21,12.1,39,323,1,52,83.6,270,53.6,173,98.4,67,2,12.7,41,450,222,4.3,8.7,1.67
