"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","odds_per_dollar","residuals","own_change","adj_own","ownership","total_pts","date","tournament"
"75","Michael Thompson",22064317,6500,60.46,0.0046,0.0063,56,0.0017,0.3696,48.75,0.73,74.5,24,0.5714,0.008,0.2309,0.1469,0.069,0.0319,0.0175,0.0053,100,0.97,0.32,8.04,8,0.0192,25,"2022-04-17","RBC Heritage"
"76","Kramer Hickok",22064318,6500,52.5,0.0046,0.0066,54,0.002,0.4348,54.3,0.9,79.5,25.5,0.5625,0.008,0.2271,0.1455,0.0645,0.0286,0.0158,0.005,100,1.02,0.37,8.87,10,0.0101,19.5,"2022-04-17","RBC Heritage"
"77","Joseph Bramlett",22064319,6500,49.88,0.0013,0.0041,74,0.0028,2.1538,47.31,0.37,74.5,24.5,0.4472,0.0044,0.1239,0.0707,0.027,0.011,0.0056,0.0016,48,0.63,-0.02,13.59,14,0.001,73.5,"2022-04-17","RBC Heritage"
"78","Garrick Higgo",22064320,6500,50.61,7e-04,0.0034,88,0.0027,3.8571,49.43,0.9,76.5,24.5,0.3769,0.0022,0.082,0.0437,0.0147,0.0054,0.0027,7e-04,100,0.52,-0.13,13.36,14,0.0042,16,"2022-04-17","RBC Heritage"
"79","Hudson Swafford",22064321,6500,59.32,0.0025,0.0055,64,0.003,1.2,46.64,1.9,73.5,23.5,0.4866,0.006,0.157,0.095,0.039,0.0169,0.0092,0.0027,35,0.85,0.2,14.06,16,0.0131,76,"2022-04-17","RBC Heritage"
"80","Henrik Stenson",22064322,6500,44.25,0.0022,0.0048,68,0.0026,1.1818,43.26,0.71,71,23,0.5114,0.0054,0.1717,0.1035,0.0424,0.0173,0.009,0.0022,54,0.74,0.09,13.23,14,0.0066,58,"2022-04-17","RBC Heritage"
"81","Adam Long",22064323,6400,57.16,0.0047,0.007,50,0.0023,0.4894,47.45,1.2,74,23.93,0.5738,0.0088,0.2378,0.1542,0.0715,0.0329,0.0194,0.0063,12,1.09,0.5,9.71,10,0.01,76.5,"2022-04-17","RBC Heritage"
"82","Doc Redman",22064324,6400,52.19,0.0026,0.0027,98,1e-04,0.0385,44.93,1.3,72,23,0.5039,0.006,0.1674,0.0992,0.0418,0.0173,0.0092,0.0026,48,0.42,-0.17,4.15,6,0.0112,71,"2022-04-17","RBC Heritage"
"83","Adam Svensson",22064325,6400,53,0.0019,0.0049,67,0.003,1.5789,52.76,5.6,78,25.5,0.4926,0.0037,0.161,0.096,0.0412,0.0174,0.0088,0.0024,26,0.77,0.18,14.05,20,0.0203,86,"2022-04-17","RBC Heritage"
"84","Satoshi Kodaira",22064326,6400,59.42,0.0014,0.0021,108,7e-04,0.5,49.09,0.58,76.07,24.5,0.4329,0.0027,0.1173,0.0674,0.026,0.0109,0.0054,0.0014,100,0.33,-0.26,6.32,6,0.0084,16,"2022-04-17","RBC Heritage"
"85","Andrew Putnam",22064327,6400,58.25,0.0036,0.0036,83,0,0,47.94,0.42,74,24,0.5567,0.0066,0.2156,0.1344,0.0587,0.0255,0.0142,0.0041,100,0.56,-0.03,3.99,4,0.0054,21,"2022-04-17","RBC Heritage"
"86","Pat Perez",22064328,6400,50.79,0.0052,0.0071,48,0.0019,0.3654,53.23,1.3,79,25,0.5837,0.0071,0.2413,0.1543,0.0704,0.0308,0.0173,0.0052,51,1.11,0.52,8.49,10,0.013,64.5,"2022-04-17","RBC Heritage"
"87","Sam Ryder",22064329,6400,56.97,0.0018,0.0027,98,9e-04,0.5,46.79,0.59,73.5,24,0.486,0.0053,0.153,0.089,0.0376,0.0155,0.0087,0.0023,100,0.42,-0.17,6.75,8,0.006,27.5,"2022-04-17","RBC Heritage"
"88","Takumi Kanaya",22064330,6300,39.93,0.0029,0.007,50,0.0041,1.4138,43.75,0.35,71,23,0.551,0.0051,0.2144,0.1371,0.0609,0.0277,0.0151,0.0045,100,1.11,0.58,16.37,16,0.0069,19,"2022-04-17","RBC Heritage"
"89","Chez Reavie",22064331,6300,49.37,0.0013,0.0044,71,0.0031,2.3846,47.86,0.29,74,24,0.501,0.004,0.1657,0.0999,0.0418,0.0177,0.0095,0.0026,100,0.7,0.17,14.25,14,0.0038,13.5,"2022-04-17","RBC Heritage"
"90","Wyndham Clark",22064332,6300,54.5,8e-04,0.0016,116,8e-04,1,41.62,0.41,70,22.5,0.3952,0.0022,0.0928,0.0484,0.017,0.006,0.003,7e-04,35,0.25,-0.28,9.52,10,0.0034,76.5,"2022-04-17","RBC Heritage"
"91","Luke Donald",22064333,6300,50.64,0.0031,0.0032,90,1e-04,0.0323,47.51,2.2,74,23.5,0.5179,0.0059,0.1765,0.1052,0.0439,0.0175,0.0095,0.0026,56,0.51,-0.02,4.2,6,0.018,64,"2022-04-17","RBC Heritage"
"92","Danny Lee",22064334,6300,54.71,0.0025,0.003,94,5e-04,0.2,44.47,0.54,71.5,23.5,0.4956,0.0035,0.1649,0.0993,0.04,0.0169,0.0093,0.0023,100,0.48,-0.05,5.14,6,0.0029,19.5,"2022-04-17","RBC Heritage"
"93","Scott Piercy",22064335,6300,47.25,0.001,0.0022,106,0.0012,1.2,44.58,0.09,71.5,23,0.4277,0.0029,0.1139,0.063,0.0234,0.0075,0.0039,7e-04,12,0.35,-0.18,10.35,10,0.0017,73.5,"2022-04-17","RBC Heritage"
"94","Jim Furyk",22064336,6300,57.75,0.001,0.002,109,0.001,1,50.31,0.62,76,24.5,0.4312,0.0024,0.1164,0.0648,0.0238,0.0094,0.0048,0.0012,100,0.32,-0.21,9.94,10,0.0222,18,"2022-04-17","RBC Heritage"
"95","Bill Haas",22064337,6300,51.91,0.0017,0.0025,102,8e-04,0.4706,42.98,0.32,70,23,0.4534,0.0024,0.128,0.0718,0.0283,0.0105,0.0054,0.0012,59,0.4,-0.13,6.45,6,0.0026,57.5,"2022-04-17","RBC Heritage"
"96","Graeme McDowell",22064338,6200,46.21,0.001,0.0019,112,9e-04,0.9,35.12,0.43,62,20.5,0.4337,0.0046,0.1167,0.0655,0.0245,0.0099,0.0049,0.0013,21,0.31,-0.15,9,10,0.004,76.5,"2022-04-17","RBC Heritage"
"97","Hank Lebioda",22064339,6200,43.28,0.0017,0.0034,88,0.0017,1,48.87,0.25,75.5,24,0.4557,0.0036,0.1307,0.0743,0.0284,0.0121,0.0061,0.0017,100,0.55,0.09,11.43,12,0.0011,28,"2022-04-17","RBC Heritage"
"98","Adam Schenk",22064340,6200,46.88,0.0011,0.0017,114,6e-04,0.5455,43.06,0.42,71.5,22.5,0.4362,0.0042,0.1146,0.0637,0.0233,0.0091,0.0046,0.0012,100,0.27,-0.19,6.33,6,0.0027,16.5,"2022-04-17","RBC Heritage"
