player_name,sample_size,baseline,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Champ, Cameron",150,0.143,26,0.019,-0.034,0.050,0.188,-0.021,-0.161,0.019,-0.012,-0.153,0.193,2.699,"AT&T Byron Nelson",TPC Craig Ranch
"Poulter, Ian",150,0.515,46,-0.045,-0.086,-0.023,-0.200,-0.040,0.058,-0.020,0.016,0.054,0.176,2.622,"AT&T Byron Nelson",TPC Craig Ranch
"Lipsky, David",150,0.117,33,-0.004,0.060,0.030,-0.033,-0.040,0.025,-0.020,0.009,0.014,0.144,2.697,"AT&T Byron Nelson",TPC Craig Ranch
"Rodgers, Patrick",150,0.209,29,0.009,-0.093,-0.009,0.067,-0.015,-0.080,0.040,0.004,-0.035,0.134,2.644,"AT&T Byron Nelson",TPC Craig Ranch
"Moore, Taylor",150,-0.051,28,0.013,0.052,-0.019,0.199,-0.040,-0.024,-0.003,-0.003,-0.029,0.124,2.640,"AT&T Byron Nelson",TPC Craig Ranch
"Sigg, Greyson",150,0.047,27,0.018,0.043,0.001,0.039,-0.040,0.027,-0.014,0.000,0.013,0.122,2.682,"AT&T Byron Nelson",TPC Craig Ranch
"Ortiz, Carlos",150,0.041,31,0.005,0.065,-0.042,0.073,-0.006,-0.035,0.009,0.000,-0.025,0.111,2.690,"AT&T Byron Nelson",TPC Craig Ranch
"Todd, Brendon",150,0.312,36,-0.013,-0.094,0.018,-0.162,-0.040,0.147,-0.075,0.014,0.086,0.106,2.621,"AT&T Byron Nelson",TPC Craig Ranch
"Riley, Davis",150,0.079,25,0.024,0.047,0.004,0.058,-0.040,-0.061,-0.006,0.000,-0.067,0.104,2.671,"AT&T Byron Nelson",TPC Craig Ranch
"Willett, Danny",150,0.185,34,-0.006,0.005,0.004,-0.049,-0.040,-0.016,0.009,0.008,0.001,0.099,2.671,"AT&T Byron Nelson",TPC Craig Ranch
"Grace, Branden",150,-0.112,33,-0.004,0.036,-0.007,0.190,-0.040,0.020,0.011,-0.000,0.031,0.095,2.653,"AT&T Byron Nelson",TPC Craig Ranch
"Schwab, Matthias",150,0.161,27,0.017,0.057,-0.009,-0.140,-0.040,0.024,0.002,0.013,0.039,0.085,2.640,"AT&T Byron Nelson",TPC Craig Ranch
"Putnam, Andrew",150,0.035,33,-0.002,-0.022,0.010,-0.021,-0.031,0.101,-0.017,0.009,0.094,0.062,2.650,"AT&T Byron Nelson",TPC Craig Ranch
"Armour, Ryan",150,0.031,46,-0.044,-0.011,0.056,0.008,0.004,0.077,-0.073,-0.003,0.001,0.046,2.685,"AT&T Byron Nelson",TPC Craig Ranch
"Laird, Martin",150,0.079,39,-0.022,-0.109,-0.008,0.149,-0.022,0.001,-0.057,-0.006,-0.062,0.005,2.629,"AT&T Byron Nelson",TPC Craig Ranch
"Lashley, Nate",150,0.079,39,-0.022,-0.032,0.018,-0.019,-0.053,0.036,-0.010,0.005,0.031,0.001,2.687,"AT&T Byron Nelson",TPC Craig Ranch
"Perez, Pat",150,0.293,46,-0.044,-0.100,0.029,-0.240,-0.012,0.067,-0.006,0.013,0.074,-0.000,2.608,"AT&T Byron Nelson",TPC Craig Ranch
"Hickok, Kramer",150,-0.126,30,0.008,0.022,0.015,0.118,-0.032,0.020,-0.028,-0.003,-0.011,-0.005,2.674,"AT&T Byron Nelson",TPC Craig Ranch
"Palmer, Ryan",150,0.066,45,-0.042,-0.042,-0.031,0.098,-0.027,-0.045,0.005,-0.007,-0.046,-0.025,2.722,"AT&T Byron Nelson",TPC Craig Ranch
"Bramlett, Joseph",150,-0.405,34,-0.005,0.140,0.033,0.284,0.021,-0.113,0.026,-0.013,-0.100,-0.031,2.696,"AT&T Byron Nelson",TPC Craig Ranch
"Higgs, Harry",150,-0.076,30,0.007,0.046,-0.012,0.022,-0.031,-0.013,0.019,0.004,0.009,-0.033,2.704,"AT&T Byron Nelson",TPC Craig Ranch
"Uihlein, Peter",150,-0.137,32,-0.000,0.002,0.014,0.113,-0.040,-0.068,0.077,0.004,0.013,-0.035,2.674,"AT&T Byron Nelson",TPC Craig Ranch
"Kitayama, Kurt",150,-0.114,29,0.011,0.006,0.064,0.066,-0.040,-0.083,0.049,-0.000,-0.035,-0.043,2.690,"AT&T Byron Nelson",TPC Craig Ranch
"Jaeger, Stephan",150,0.022,32,-0.001,0.064,-0.023,-0.152,-0.040,0.043,0.025,0.017,0.085,-0.045,2.688,"AT&T Byron Nelson",TPC Craig Ranch
"Schenk, Adam",150,-0.053,30,0.008,-0.005,-0.034,0.037,-0.007,-0.031,0.014,-0.002,-0.020,-0.073,2.688,"AT&T Byron Nelson",TPC Craig Ranch
"Seiffert, Chase",150,-0.198,30,0.006,0.029,0.064,0.042,-0.040,0.042,-0.020,-0.001,0.020,-0.076,2.697,"AT&T Byron Nelson",TPC Craig Ranch
"Whaley, Vincent",150,-0.151,27,0.018,-0.042,0.007,0.067,-0.002,-0.029,0.042,-0.004,0.010,-0.093,2.647,"AT&T Byron Nelson",TPC Craig Ranch
