"","X","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","top_20","top_10","top_5","win","odds_per_dollar","one","residuals","own_change","adj_own","total_pts"
"36",36,"Emiliano Grillo",22969203,7400,51.78,0.0061,0.0053,44,-8e-04,-0.1311,57.34,4.4,83,26,0.5868,0.1669,0.0755,0.0336,0.0048,0.72,1,-0.13,2.92,7,55.2
"37",37,"John Huh",22969204,7400,55.12,0.0061,0.0055,40,-0.000600000000000001,-0.0984,53.68,3.9,80,25.5,0.5745,0.1506,0.0641,0.0265,0.0032,0.74,1,-0.11,2.8,7,50.09
"38",38,"David Lipsky",22969205,7300,55.48,0.0082,0.0078,27,-0.000400000000000001,-0.0488,63.51,7.5,86.5,28,0.6296,0.2146,0.1004,0.0444,0.007,1.07,1,0.27,3.83,11,64.28
"39",39,"Stephan Jaeger",22969206,7300,49.26,0.007,0.0069,32,-1e-04,-0.0143,53.42,4.7,80,25.5,0.5951,0.1745,0.0786,0.0339,0.0044,0.95,1,0.15,2.68,7,48.79
"40",40,"Matthias Schwab",22969207,7300,58.79,0.008,0.0069,32,-0.0011,-0.1375,62.14,6.7,85,27.5,0.6032,0.1783,0.0787,0.0332,0.0042,0.95,1,0.15,3.72,10,54.79
"41",41,"Greyson Sigg",22969208,7300,55.62,0.0059,0.0051,48,-0.000799999999999999,-0.1356,53.76,1.8,79,25.5,0.5781,0.1538,0.0668,0.0264,0.0034,0.7,1,-0.1,2.7,4,50.09
"42",42,"Ryan Armour",22969209,7300,47.38,0.0049,0.0045,56,-4e-04,-0.0816,56.92,5.3,82.5,25.5,0.5556,0.1431,0.0607,0.025,0.0035,0.62,1,-0.18,2.62,8,55.2
"43",43,"Joseph Bramlett",22969210,7200,50.88,0.0043,0.0037,65,-6e-04,-0.1395,54.44,2.4,80.5,25,0.5652,0.1502,0.0649,0.0274,0.0033,0.51,1,-0.24,2.51,5,44.97
"44",44,"Nick Hardy",22969211,7200,53.43,0.0061,0.0056,39,-5e-04,-0.082,55.11,2.1,81.5,25.5,0.5726,0.1555,0.0682,0.0281,0.0042,0.78,1,0.03,2.97,5,50.09
"45",45,"J.T. Poston",22969212,7200,46.22,0.0078,0.0067,34,-0.0011,-0.141,52.35,8.8,79,24.5,0.6255,0.2062,0.0956,0.0427,0.0059,0.93,1,0.18,2.32,11,48.79
"46",46,"Rory Sabbatini",22969213,7200,60.07,0.005,0.0045,56,-5e-04,-0.1,56.32,5.9,81.5,25.5,0.5633,0.152,0.0654,0.0271,0.0034,0.62,1,-0.13,3.25,9,48.82
"47",47,"Trey Mullinax",22969215,7100,50.16,0.0045,0.0039,62,-6e-04,-0.1333,51.75,2.2,78,24.5,0.5261,0.1193,0.0481,0.0195,0.0023,0.55,1,-0.15,2.24,4,44.97
"48",48,"Chase Seiffert",22969216,7100,54.25,0.0053,0.0045,56,-8e-04,-0.1509,54.23,2.5,80,25.5,0.5215,0.1195,0.0501,0.0199,0.0024,0.63,1,-0.07,2.74,5,50.09
"49",49,"Brandt Snedeker",22969217,7100,44.61,0.0036,0.0031,73,-5e-04,-0.1389,52.95,3.5,78.5,25.5,0.4785,0.0898,0.0316,0.011,0.0012,0.44,1,-0.26,1.91,5,40.05
"50",50,"Brian Stuard",22969218,7100,47.56,0.0059,0.0051,48,-0.000799999999999999,-0.1356,53.23,2.1,79,25,0.5192,0.1101,0.0437,0.0175,0.002,0.72,1,0.02,2.31,4,50.09
"51",51,"Adam Svensson",22969219,7100,53.52,0.0078,0.0067,34,-0.0011,-0.141,56.82,13.9,80.5,25.5,0.5816,0.1647,0.0718,0.0298,0.0041,0.94,1,0.24,2.95,17,48.79
"52",52,"Doug Ghim",22969221,7000,52.29,0.0103,0.0088,23,-0.0015,-0.1456,57.77,10.7,82.5,26,0.6552,0.2294,0.1106,0.05,0.0076,1.26,1,0.61,3.33,14,52.75
"53",53,"Lee Hodges",22969222,7000,51.85,0.0061,0.0053,44,-8e-04,-0.1311,53.59,2.6,81.35,25.5,0.5614,0.1404,0.059,0.0235,0.0027,0.76,1,0.11,2.88,5,47.64
"54",54,"Peter Malnati",22969223,7000,56.79,0.0053,0.0045,56,-8e-04,-0.1509,49.59,5,76,24,0.5726,0.1548,0.0667,0.0289,0.0036,0.64,1,-0.01,2.46,7,48.95
"55",55,"Andrew Novak",22969224,7000,53,0.0058,0.005,50,-0.000799999999999999,-0.1379,53.8,1.6,81,26,0.5516,0.1353,0.0565,0.0241,0.0032,0.71,1,0.06,2.87,4,48.95
"56",56,"Hank Lebioda",22969225,7000,44.25,0.0034,0.0029,76,-5e-04,-0.1471,53.81,3.1,79.5,25,0.5238,0.1205,0.0506,0.0197,0.0021,0.41,1,-0.24,2.01,5,43.82
"57",57,"Scott Piercy",22969226,7000,48.76,0.0047,0.004,60,-7e-04,-0.1489,51.8,1.3,78.5,24.5,0.5595,0.1414,0.0597,0.0235,0.0033,0.57,1,-0.08,2.25,4,43.82
"58",58,"Brandon Wu",22969227,6900,51.03,0.0053,0.0045,56,-8e-04,-0.1509,49.26,3.6,76.35,24.5,0.5455,0.1316,0.054,0.0209,0.0025,0.65,1,0.05,2.21,6,48.95
"59",59,"Hayden Buckley",22969228,6900,49.98,0.0032,0.0028,79,-4e-04,-0.125,50.54,1.6,77.5,24.5,0.4878,0.0928,0.0363,0.0139,0.0016,0.41,1,-0.19,2.15,4,43.82
