player_name,sample_size,DG_odds,bet365_odds,bet365_ev,whill_odds,whill_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,pinnacle_odds,pinnacle_ev,betcris_odds,betcris_ev,betfair_odds,betfair_ev,betonline_odds,betonline_ev,betmgm_odds,betmgm_ev,betway_odds,betway_ev,bovada_odds,bovada_ev,circa_odds,circa_ev,pointsbet_odds,pointsbet_ev,skybet_odds,skybet_ev,unibet_odds,unibet_ev
"Garnett, Brice",150,+42005,+22500,-0.463,+20000,-0.523,+23000,-0.451,+25000,-0.404,+40417,-0.038,+22550,-0.462,+20000,-0.523,,0.00,+20000,-0.523,+20000,-0.523,+25000,-0.404,+17500,-0.582,+25000,-0.404,+20000,-0.523,+17500,-0.582
"Gotterup, Chris",150,+42453,+35000,-0.175,,0.00,+32000,-0.246,+40000,-0.058,+18404,-0.565,,0.00,+30000,-0.293,,0.00,+20000,-0.528,+25000,-0.410,+30000,-0.293,+30000,-0.293,+25000,-0.410,+20000,-0.528,,0.00
"Higgs, Harry",150,+44344,+22500,-0.492,+20000,-0.548,+21000,-0.525,+25000,-0.435,+20073,-0.546,+25050,-0.434,+20000,-0.548,+25000,-0.435,+30000,-0.323,+20000,-0.548,+25000,-0.435,+25000,-0.435,+20000,-0.548,+20000,-0.548,+25000,-0.435
"Mullinax, Trey",150,+44344,+27500,-0.379,+20000,-0.548,+21000,-0.525,+30000,-0.323,+25745,-0.418,+20000,-0.548,+20000,-0.548,+30000,-0.323,+25000,-0.435,+20000,-0.548,+25000,-0.435,+30000,-0.323,+25000,-0.435,+20000,-0.548,+25000,-0.435
"Tarren, Callum",150,+46412,+40000,-0.138,+25000,-0.460,+42000,-0.095,+25000,-0.460,+29343,-0.367,,0.00,+30000,-0.353,,0.00,+25000,-0.460,+30000,-0.353,+30000,-0.353,+37500,-0.192,+25000,-0.460,+30000,-0.353,+35000,-0.245
"Lebioda, Hank",150,+46412,+22500,-0.514,+15000,-0.675,+12000,-0.740,+25000,-0.460,+33959,-0.268,+22550,-0.513,+10000,-0.783,+22500,-0.514,+12500,-0.729,+15000,-0.675,+15000,-0.675,+25000,-0.460,+15000,-0.675,+15000,-0.675,+20000,-0.568
"Stuard, Brian",150,+50533,+25000,-0.504,+25000,-0.504,+27000,-0.465,+25000,-0.504,+19568,-0.612,+25050,-0.503,+25000,-0.504,,0.00,+20000,-0.603,+25000,-0.504,+30000,-0.406,+30000,-0.406,+25000,-0.504,+25000,-0.504,+20000,-0.603
"Hoffman, Charley",150,+52532,+20000,-0.618,+20000,-0.618,+18000,-0.656,+25000,-0.523,+27194,-0.481,+13550,-0.741,+17500,-0.666,+27500,-0.476,+25000,-0.523,+20000,-0.618,+25000,-0.523,+30000,-0.428,+25000,-0.523,+20000,-0.618,+25000,-0.523
"Byrd, Jonathan",150,+53954,+35000,-0.351,+30000,-0.443,+42000,-0.221,+25000,-0.536,+37955,-0.296,,0.00,+30000,-0.443,,0.00,+25000,-0.536,+30000,-0.443,+30000,-0.443,+50000,-0.073,+35000,-0.351,+30000,-0.443,+35000,-0.351
"Lower, Justin",150,+54695,+30000,-0.451,+30000,-0.451,+28000,-0.487,+25000,-0.542,+32307,-0.409,,0.00,+25000,-0.542,,0.00,+20000,-0.633,+25000,-0.542,+20000,-0.633,+42500,-0.223,+30000,-0.451,+25000,-0.542,+20000,-0.633
