"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","odds_per_dollar","residuals","own_change","adj_own","ownership","total_pts","date","tournament"
"61","Ryan Palmer",22549523,6900,58.27,0.0042,0.0038,79,-4e-04,-0.0952,47.8,1.9,71,22,0.5608,0.007,0.1931,0.1184,0.0518,0.0222,0.0118,0.0033,100,0.55,-0.14,3.19,6,0.022,19.5,"2022-05-22","PGA Championship"
"62","Chris Kirk",22549524,6900,63.1,0.0059,0.0061,50,0.000200000000000001,0.0339,50.8,4.4,73.5,22.5,0.6369,0.01,0.2648,0.1724,0.0805,0.0387,0.0223,0.0064,5,0.88,0.19,4.46,8,0.0216,78,"2022-05-22","PGA Championship"
"63","Kevin Na",22549525,6900,62.56,0.0062,0.0061,50,-9.99999999999994e-05,-0.0161,44.92,1.5,69,21.5,0.5978,0.0086,0.227,0.1437,0.0664,0.0306,0.0171,0.0042,23,0.88,0.19,3.86,6,0.0319,57,"2022-05-22","PGA Championship"
"64","Martin Kaymer",22549526,6900,38.5,0.0034,0.0013,118,-0.0021,-0.6176,36.12,0.03,61.5,19,0.3312,0.0016,0.0571,0.0293,0.0097,0.0037,0.0018,5e-04,100,0.19,-0.5,1.18,2,6e-04,11.5,"2022-05-22","PGA Championship"
"65","Jhonattan Vegas",22549527,6900,70.09,0.0064,0.0056,54,-8e-04,-0.125,51.95,1.7,74,23.5,0.5812,0.0061,0.2313,0.1463,0.0671,0.0304,0.0167,0.0042,100,0.81,0.12,2.5,4,0.0184,11,"2022-05-22","PGA Championship"
"66","Cameron Champ",22549528,6900,57.68,0.0075,0.0058,52,-0.0017,-0.2267,39.66,1.8,64,20.5,0.5471,0.0053,0.2009,0.1278,0.0583,0.0259,0.015,0.0043,100,0.84,0.15,0.85,2,0.028,13.5,"2022-05-22","PGA Championship"
"67","Charl Schwartzel",22677978,6900,47.37,0.0042,0.0027,94,-0.0015,-0.3571,39.47,0.73,64,20,0.4316,0.0025,0.1047,0.0595,0.0228,0.0086,0.004,0.001,60,0.39,-0.3,1.42,2,0.0117,41,"2022-05-22","PGA Championship"
"68","Sebastian Munoz",22549529,6800,70.81,0.0046,0.0091,32,0.0045,0.9783,48.38,7.3,71.5,22,0.6762,0.0127,0.3196,0.2199,0.1119,0.0562,0.0338,0.0115,55,1.34,0.73,17.05,24,0.0929,36,"2022-05-22","PGA Championship"
"69","Kevin Streelman",22549530,6800,54.97,0.0034,0.0026,96,-8e-04,-0.2353,49.12,0.71,71.5,22.5,0.5431,0.0051,0.168,0.1008,0.041,0.0164,0.0091,0.0025,41,0.38,-0.23,2.55,4,0.0045,49,"2022-05-22","PGA Championship"
"70","Hudson Swafford",22549531,6800,59.21,0.0019,0.0015,114,-4e-04,-0.2105,38.24,0.14,64,20,0.4267,0.0031,0.1064,0.06,0.0232,0.0091,0.0049,0.0013,100,0.22,-0.39,3.26,4,0.0012,11.5,"2022-05-22","PGA Championship"
"71","Aaron Wise",22549532,6800,70.07,0.0046,0.0089,34,0.0043,0.9348,50.04,3.8,72.5,23,0.6191,0.008,0.2833,0.193,0.0965,0.0475,0.0274,0.0085,23,1.31,0.7,16.31,20,0.0434,62.5,"2022-05-22","PGA Championship"
"72","Nicolai Hojgaard",22549533,6800,46.75,0.0023,0.002,106,-3e-04,-0.1304,40.93,0.12,66.08,20.5,0.4307,0.0022,0.1031,0.0577,0.0228,0.0078,0.0037,8e-04,100,0.29,-0.32,3.37,4,0.0011,11,"2022-05-22","PGA Championship"
"73","Matt Kuchar",22549534,6800,73.82,0.0043,0.0045,68,2e-04,0.0465,43.91,4.7,67.5,21,0.5881,0.0066,0.208,0.1261,0.0546,0.0236,0.0126,0.0032,34,0.66,0.05,4.42,10,0.0725,55.5,"2022-05-22","PGA Championship"
"74","Lucas Herbert",22549535,6800,52.86,0.0028,0.0023,102,-5e-04,-0.1786,37.35,0.13,62.5,19.5,0.4606,0.0035,0.1286,0.0743,0.0296,0.0122,0.0061,0.0016,13,0.34,-0.27,3.05,4,0.0019,65,"2022-05-22","PGA Championship"
"75","Kevin Kisner",22549536,6800,60.62,0.0054,0.0031,88,-0.0023,-0.4259,40.41,0.4,65,20.5,0.4736,0.003,0.1367,0.081,0.0321,0.0138,0.0072,0.0021,100,0.46,-0.15,0.08,0,0.0104,21,"2022-05-22","PGA Championship"
"76","Davis Riley",22549537,6800,64.94,0.0045,0.0043,70,-2e-04,-0.0444,44.77,5.2,69,21.5,0.5759,0.0069,0.1969,0.12,0.0528,0.0229,0.0125,0.0034,13,0.63,0.02,3.61,8,0.0399,65.5,"2022-05-22","PGA Championship"
"77","Joel Dahmen",22677982,6800,66.03,0.006,0.0046,67,-0.0014,-0.2333,44.6,0.58,68.5,21.43,0.5262,0.004,0.1766,0.1089,0.0445,0.0195,0.0102,0.0024,100,0.68,0.07,1.44,2,0.0096,13.5,"2022-05-22","PGA Championship"
"78","Mito Pereira",22549538,6700,69.33,0.0094,0.0081,40,-0.0013,-0.1383,50.66,10.4,73,22.5,0.6738,0.0108,0.307,0.206,0.1024,0.0492,0.0286,0.0085,3,1.21,0.66,1.67,12,0.1,85.5,"2022-05-22","PGA Championship"
"79","Min Woo Lee",22549539,6700,43.5,0.0023,0.0022,104,-9.99999999999998e-05,-0.0435,38.27,0.31,63,20,0.46,0.0034,0.1297,0.0758,0.0297,0.0114,0.0061,0.0013,100,0.33,-0.22,3.74,4,0.0042,21,"2022-05-22","PGA Championship"
"80","Cameron Davis",22549540,6700,56.03,0.0043,0.0041,72,-2e-04,-0.0465,44.77,0.97,69,21.5,0.588,0.007,0.212,0.134,0.0573,0.0256,0.0142,0.004,48,0.61,0.06,3.63,4,NA,NA,"2022-05-22","PGA Championship"
"81","Branden Grace",22549541,6700,48.13,0.0048,0.0027,94,-0.0021,-0.4375,41.25,0.19,65.5,20.5,0.487,0.003,0.1399,0.079,0.0321,0.013,0.0067,0.0016,100,0.4,-0.15,0.52,0,0.0025,17.5,"2022-05-22","PGA Championship"
"82","Adri Arnaus",22549542,6700,75.65,0.0036,0.0034,84,-2e-04,-0.0556,38.18,0.25,62.5,20,0.5379,0.006,0.169,0.1012,0.0445,0.0199,0.0114,0.0034,30,0.51,-0.04,3.6,4,0.0068,50.5,"2022-05-22","PGA Championship"
"83","Garrick Higgo",22549543,6700,48.3,0.0097,0.0014,116,-0.0083,-0.8557,34.46,0.39,60,18.5,0.3994,0.0027,0.0712,0.0372,0.0128,0.0042,0.0022,5e-04,100,0.21,-0.34,-9.77,0,0.0015,12,"2022-05-22","PGA Championship"
"84","Justin Harding",22549544,6700,77.69,0.0031,0.0024,100,-7e-04,-0.2258,44.03,0.03,68.5,21,0.4512,0.0029,0.1226,0.0699,0.0272,0.0109,0.0056,0.0014,71,0.36,-0.19,2.75,2,0.0042,39,"2022-05-22","PGA Championship"
"85","Sam Horsfield",22549545,6700,92.12,0.0028,0.0053,59,0.0025,0.8929,48.81,1.7,72,22.5,0.5955,0.0097,0.2251,0.1454,0.068,0.0322,0.0178,0.0054,100,0.79,0.24,12.26,14,0.0269,16,"2022-05-22","PGA Championship"
"86","Stewart Cink",22549546,6700,54.79,0.0034,0.0024,100,-0.001,-0.2941,40.86,0.95,65.5,20.5,0.5066,0.0047,0.1408,0.0821,0.0335,0.0138,0.0073,0.0019,23,0.36,-0.19,2.29,4,0.0076,59.5,"2022-05-22","PGA Championship"
"87","Brendan Steele",22677976,6700,53.53,0.0031,0.0034,84,3e-04,0.0968,43.07,0.52,67.5,21,0.5641,0.0065,0.1876,0.1156,0.0491,0.0217,0.0113,0.0032,9,0.51,-0.04,4.63,6,0.0033,70.5,"2022-05-22","PGA Championship"
"88","Carlos Ortiz",22549547,6600,61.81,0.0042,0.0029,90,-0.0013,-0.3095,40.64,1.3,65.5,20.5,0.5362,0.0063,0.1626,0.0972,0.0403,0.0173,0.0092,0.0027,100,0.44,-0.06,1.77,4,0.006,7,"2022-05-22","PGA Championship"
"89","Bernd Wiesberger",22549548,6600,64.44,0.0034,0.0042,71,8e-04,0.2353,46.78,0.64,70,22,0.5179,0.0038,0.167,0.1004,0.0413,0.0171,0.0093,0.0027,30,0.64,0.14,5.86,6,0.0059,62,"2022-05-22","PGA Championship"
"90","Keith Mitchell",22549549,6600,68.73,0.0068,0.0061,50,-0.000699999999999999,-0.1029,45.91,1.5,70,22,0.5504,0.0051,0.2071,0.1296,0.0581,0.0261,0.0141,0.0042,34,0.92,0.42,2.77,4,0.0256,55,"2022-05-22","PGA Championship"
"91","Henrik Stenson",22549550,6600,45.12,0.0034,0.0028,92,-6e-04,-0.1765,33.7,0.16,59,18.5,0.4581,0.0026,0.1257,0.0722,0.0283,0.0106,0.0054,0.0014,100,0.42,-0.08,2.9,4,0.0012,19.5,"2022-05-22","PGA Championship"
"92","Zach Johnson",22549551,6600,40.56,0.0034,9e-04,122,-0.0025,-0.7353,36.74,0.09,61,19.5,0.3844,0.0018,0.0747,0.0397,0.0138,0.0046,0.0022,4e-04,100,0.14,-0.36,1.05,2,6e-04,12.5,"2022-05-22","PGA Championship"
"93","Mackenzie Hughes",22549552,6600,58.69,0.0034,0.0032,87,-2e-04,-0.0588,38.55,1.3,64,20,0.5651,0.006,0.1857,0.1138,0.0491,0.0206,0.0109,0.0027,100,0.48,-0.02,3.61,4,0.0122,14.5,"2022-05-22","PGA Championship"
"94","Laurie Canter",22549553,6600,69.17,0.0039,0.0037,80,-2e-04,-0.0513,43.06,0.17,68.5,21,0.5424,0.0049,0.1662,0.0993,0.0418,0.0181,0.01,0.0028,48,0.56,0.06,3.63,4,0.0011,45,"2022-05-22","PGA Championship"
"95","Matt Jones",22549554,6600,58.91,0.0034,0.0041,72,0.000700000000000001,0.2059,46.61,0.75,70,22,0.5849,0.007,0.2051,0.1254,0.0554,0.024,0.0128,0.0033,100,0.62,0.12,5.61,6,0.0093,9.5,"2022-05-22","PGA Championship"
