"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","top_20","top_10","top_5","win","odds_per_dollar","one","residuals","own_change","adj_own","total_pts"
"58","Christiaan Bezuidenhout",22549520,7000,66.11,0.0056,0.0055,56,-1e-04,-0.0179,47.04,2.3,70.5,22,0.5726,0.1253,0.0545,0.0223,0.0033,0.79,1,0.03,2.95,5,0
"59","Robert Macintyre",22549521,6900,63.19,0.0068,0.0046,68,-0.0022,-0.3235,46.14,8.2,69.5,22,0.5556,0.1189,0.0534,0.0236,0.0035,0.67,1,-0.02,2.23,10,0
"60","Francesco Molinari",22549522,6900,55.5,0.0042,0.0031,88,-0.0011,-0.2619,40.06,0.64,65,20,0.5,0.088,0.036,0.0146,0.0024,0.45,1,-0.24,1.85,2,0
"61","Ryan Palmer",22549523,6900,58.27,0.0042,0.0036,80,-6e-04,-0.1429,47.8,1.9,71,22,0.5305,0.1056,0.0453,0.0188,0.003,0.52,1,-0.17,2.3,4,0
"62","Chris Kirk",22549524,6900,63.1,0.0055,0.0063,48,8e-04,0.1455,50.8,4.4,73.5,22.5,0.6047,0.1575,0.073,0.0329,0.0054,0.91,1,0.22,3.69,8,0
"63","Kevin Na",22549525,6900,62.56,0.0062,0.0062,50,0,0,44.92,1.5,69,21.5,0.569,0.1295,0.0585,0.0258,0.0042,0.9,1,0.21,3.33,5,0
"64","Martin Kaymer",22549526,6900,38.5,0.0034,0.0013,118,-0.0021,-0.6176,36.12,0.03,61.5,19,0.369,0.0355,0.0116,0.0042,7e-04,0.19,1,-0.5,0.57,1,0
"65","Jhonattan Vegas",22549527,6900,70.09,0.0059,0.0057,53,-2e-04,-0.0339,51.95,1.7,74,23.5,0.6183,0.1595,0.0733,0.0331,0.0047,0.83,1,0.14,3.19,5,0
"66","Cameron Champ",22549528,6900,57.68,0.0075,0.0059,52,-0.0016,-0.2133,39.66,1.8,64,20.5,0.5763,0.1416,0.0646,0.029,0.005,0.86,1,0.17,2.76,5,0
"67","Charl Schwartzel",22677978,6900,47.37,0.0042,0.0027,95,-0.0015,-0.3571,39.47,0.73,64,20,0.463,0.0637,0.0243,0.0092,0.0011,0.39,1,-0.3,1.53,2,0
"68","Sebastian Munoz",22549529,6800,70.81,0.0046,0.0092,30,0.0046,1,48.38,7.3,71.5,22,0.6441,0.202,0.1025,0.0518,0.0098,1.35,1,0.74,6.42,14,0
"69","Kevin Streelman",22549530,6800,54.97,0.0034,0.0027,95,-7e-04,-0.2059,49.12,0.71,71.5,22.5,0.505,0.0855,0.0335,0.0133,0.0016,0.4,1,-0.21,2.11,3,0
"70","Hudson Swafford",22549531,6800,59.21,0.0018,0.0015,113,-3e-04,-0.1667,38.24,0.14,64,20,0.4608,0.0673,0.0268,0.0103,0.0013,0.22,1,-0.39,1.73,2,0
"71","Aaron Wise",22549532,6800,70.07,0.0046,0.0085,35,0.0039,0.8478,50.04,3.8,72.5,23,0.6528,0.2058,0.1036,0.0508,0.0087,1.25,1,0.64,5.93,10,0
"72","Nicolai Hojgaard",22549533,6800,46.75,0.0021,0.002,106,-9.99999999999998e-05,-0.0476,40.93,0.12,66.08,20.5,0.4566,0.0656,0.027,0.0095,0.0011,0.29,1,-0.32,2.13,2,0
"73","Matt Kuchar",22549534,6800,73.82,0.0043,0.0046,68,3e-04,0.0698,43.91,4.7,67.5,21,0.5556,0.1175,0.0498,0.0212,0.0032,0.68,1,0.07,3.16,8,0
"74","Lucas Herbert",22549535,6800,52.86,0.0028,0.0023,102,-5e-04,-0.1786,37.35,0.13,62.5,19.5,0.4926,0.085,0.0332,0.014,0.002,0.34,1,-0.27,1.92,2,0
"75","Kevin Kisner",22549536,6800,60.62,0.0054,0.0031,88,-0.0023,-0.4259,40.41,0.4,65,20.5,0.505,0.0903,0.0368,0.0154,0.0026,0.46,1,-0.15,1.7,2,0
"76","Davis Riley",22549537,6800,64.94,0.0042,0.0044,70,0.000200000000000001,0.0476,44.77,5.2,69,21.5,0.5455,0.1117,0.0469,0.0204,0.0032,0.65,1,0.04,3.08,8,0
"77","Joel Dahmen",22677982,6800,66.03,0.0056,0.0047,66,-9e-04,-0.1607,44.6,0.58,68.5,21.43,0.5575,0.1155,0.0493,0.0218,0.003,0.69,1,0.08,2.74,3,0
"78","Mito Pereira",22549538,6700,69.33,0.0087,0.0083,37,-0.000399999999999999,-0.046,50.66,10.4,73,22.5,0.6429,0.1887,0.0899,0.0433,0.0073,1.24,1,0.69,4.24,15,0
"79","Min Woo Lee",22549539,6700,43.5,0.0022,0.0022,104,0,0,38.27,0.31,63,20,0.4902,0.084,0.0353,0.0145,0.0019,0.33,1,-0.22,2.39,3,0
"80","Cameron Davis",22549540,6700,56.03,0.0043,0.0037,79,-6e-04,-0.1395,44.77,0.97,69,21.5,0.5536,0.1182,0.0523,0.023,0.0033,0.55,1,0,2.63,4,0
"81","Branden Grace",22549541,6700,48.13,0.0048,0.0028,93,-0.002,-0.4167,41.25,0.19,65.5,20.5,0.5146,0.0909,0.0362,0.0153,0.0019,0.42,1,-0.13,1.77,2,0
"82","Adri Arnaus",22549542,6700,75.65,0.0034,0.0031,88,-3e-04,-0.0882,38.18,0.25,62.5,20,0.505,0.0912,0.0386,0.016,0.0019,0.46,1,-0.09,2.47,3,0
"83","Garrick Higgo",22549543,6700,48.3,0.0097,0.0014,116,-0.0083,-0.8557,34.46,0.39,60,18.5,0.3663,0.0329,0.0108,0.0038,0,0.21,1,-0.34,0.39,1,0
"84","Justin Harding",22549544,6700,77.69,0.0029,0.0024,100,-5e-04,-0.1724,44.03,0.03,68.5,21,0.4831,0.0764,0.0299,0.0125,0.002,0.36,1,-0.19,2.17,2,0
"85","Sam Horsfield",22549545,6700,92.12,0.0028,0.0054,58,0.0026,0.9286,48.81,1.7,72,22.5,0.5633,0.1328,0.0616,0.028,0.0043,0.81,1,0.26,5.32,7,0
"86","Stewart Cink",22549546,6700,54.79,0.0034,0.0024,100,-0.001,-0.2941,40.86,0.95,65.5,20.5,0.4739,0.0754,0.0306,0.0129,0.0019,0.36,1,-0.19,1.89,3,0
"87","Brendan Steele",22677976,6700,53.53,0.0029,0.0034,84,5e-04,0.1724,43.07,0.52,67.5,21,0.5349,0.1054,0.0444,0.0197,0.0023,0.51,1,-0.04,3.15,4,0
"88","Carlos Ortiz",22549547,6600,61.81,0.0042,0.003,90,-0.0012,-0.2857,40.64,1.3,65.5,20.5,0.5025,0.0875,0.0357,0.015,0.0022,0.45,1,-0.06,2.17,3,0
"89","Bernd Wiesberger",22549548,6600,64.44,0.0034,0.0042,72,8e-04,0.2353,46.78,0.64,70,22,0.5516,0.1127,0.046,0.019,0.0027,0.64,1,0.13,3.65,4,0
"90","Keith Mitchell",22549549,6600,68.73,0.0065,0.0062,50,-3e-04,-0.0462,45.91,1.5,70,22,0.5833,0.1389,0.0641,0.0277,0.0041,0.94,1,0.43,3.69,5,0
"91","Henrik Stenson",22549550,6600,45.12,0.0034,0.0029,92,-5e-04,-0.1471,33.7,0.16,59,18.5,0.495,0.0789,0.0298,0.0116,0.0019,0.44,1,-0.07,2.34,2,0
"92","Zach Johnson",22549551,6600,40.56,0.0034,0.001,122,-0.0024,-0.7059,36.74,0.09,61,19.5,0.4149,0.0446,0.0155,0.0053,7e-04,0.15,1,-0.36,0.67,1,0
"93","Mackenzie Hughes",22549552,6600,58.69,0.0034,0.0033,86,-9.99999999999998e-05,-0.0294,38.55,1.3,64,20,0.537,0.1027,0.0428,0.0177,0.0023,0.5,1,-0.01,2.76,4,0
"94","Laurie Canter",22549553,6600,69.17,0.0036,0.0038,78,2e-04,0.0556,43.06,0.17,68.5,21,0.505,0.0898,0.0355,0.0149,0.0024,0.58,1,0.07,3.15,3,0
"95","Matt Jones",22549554,6600,58.91,0.0034,0.0042,72,8e-04,0.2353,46.61,0.75,70,22,0.5516,0.1139,0.0481,0.0199,0.0027,0.64,1,0.13,3.65,4,0
"96","Shaun Norris",22549555,6600,83.25,0.0016,0.0013,118,-3e-04,-0.1875,37.78,0.44,63,19.5,0.3802,0.0371,0.0125,0.0046,6e-04,0.2,1,-0.31,1.83,2,0
"97","Pablo Larrazabal",22549556,6500,89,0.0025,0.0029,92,4e-04,0.16,40.11,0.63,64.5,20,0.5,0.0858,0.0345,0.0144,0.0019,0.45,1,-0.02,3.12,4,0
"98","Patton Kizzire",22549558,6500,62.5,0.0036,0.0035,82,-9.99999999999998e-05,-0.0278,44.42,0.43,68.5,21.5,0.5305,0.1029,0.0418,0.0181,0.003,0.54,1,0.07,2.98,3,0
"99","Harry Higgs",22549559,6500,47.53,0.0019,0.0017,111,-2e-04,-0.1053,37.13,0.18,62.5,19.5,0.4673,0.0668,0.0261,0.0107,0.0013,0.26,1,-0.21,2.19,2,0
"100","Lucas Glover",22549560,6500,62.31,0.003,0.0025,98,-5e-04,-0.1667,43.2,0.88,67.5,21.5,0.495,0.0854,0.035,0.0146,0.002,0.38,1,-0.09,2.38,3,0
"101","Richard Bland",22549562,6500,58.25,0.003,0.0025,98,-5e-04,-0.1667,42.47,0.29,67,20.5,0.4444,0.056,0.0206,0.0077,7e-04,0.38,1,-0.09,2.36,3,0
"102","Anirban Lahiri",22549564,6500,54.58,0.0041,0.004,76,-1e-04,-0.0244,42.62,1.1,66.58,21,0.5516,0.1176,0.0511,0.0223,0.0037,0.62,1,0.15,3.13,4,0
"103","Takumi Kanaya",22549565,6400,37.31,0.0013,0.0015,113,2e-04,0.1538,33.77,0.08,58.5,18.43,0.4608,0.0682,0.0249,0.0096,0.0012,0.23,1,-0.2,2.68,3,0
"104","Chan Kim",22549567,6400,59.9,0.001,8e-04,124,-2e-04,-0.2,36.76,0.04,62,19.5,0.3367,0.026,0.0081,0.0027,0,0.12,1,-0.31,1.79,2,0
"105","J.J. Spaun",22549568,6400,65.28,0.0063,0.0064,46,1e-04,0.0159,42.67,0.47,67.5,21,0.5951,0.1449,0.0651,0.03,0.0048,1,1,0.57,4.06,5,0
"106","Chad Ramey",22549569,6400,58.82,0.0027,0.0023,102,-4e-04,-0.1481,38.61,0.19,63.5,20,0.4717,0.0691,0.0261,0.0099,0.0013,0.36,1,-0.07,2.4,3,0
"107","Sadom Kaewkanjana",22549570,6400,0,0.0016,0.0013,118,-3e-04,-0.1875,18.81,0.03,24,12,0.3534,0.0296,0.0103,0.0035,0,0.2,1,-0.23,1.52,2,0
"108","Troy Merritt",22549571,6400,68.5,0.0041,0.004,76,-1e-04,-0.0244,42.36,1.1,67,20.5,0.5652,0.1245,0.0562,0.024,0.0034,0.62,1,0.19,3.21,4,0
"109","Oliver Bekker",22549573,6400,84.32,0.0036,0.0035,82,-9.99999999999998e-05,-0.0278,43.23,0.2,67.5,21,0.5392,0.1105,0.0477,0.021,0.003,0.55,1,0.12,3.07,3,0
"110","Beau Hossler",22677975,6400,54.57,0.0021,0.0018,109,-3e-04,-0.1429,36.31,0.51,62,18.5,0.4405,0.063,0.0248,0.0098,0.0011,0.28,1,-0.15,2.22,3,0
"111","Adam Schenk",22677979,6400,47.57,0.0018,0.0015,113,-3e-04,-0.1667,37.54,0.26,62.5,19.5,0.4444,0.0586,0.0219,0.0085,0.001,0.23,1,-0.2,2.09,2,0
"112","Lanto Griffin",22549574,6300,66.14,0.0062,0.0051,60,-0.0011,-0.1774,47.13,3.7,70,22,0.6,0.1479,0.0671,0.0306,0.0058,0.81,1,0.41,3.39,7,0
"113","Daniel Van Tonder",22549575,6300,68.6,0.0017,0.0014,116,-3e-04,-0.1765,38.22,0.05,63,19.5,0.4049,0.0449,0.0153,0.0055,6e-04,0.22,1,-0.18,2.11,2,0
"114","Joohyung Kim",22549577,6300,69,0.0021,0.0018,109,-3e-04,-0.1429,33.88,0.21,59,18.5,0.4673,0.0693,0.0274,0.0106,0.0014,0.29,1,-0.11,2.27,2,0
"115","Ryan Fox",22549578,6300,81.39,0.0041,0.0041,74,0,0,48.46,2.4,71.5,22.5,0.537,0.1056,0.0455,0.0195,0.0032,0.65,1,0.25,3.44,6,0
"116","Rikuya Hoshino",22549580,6300,53,0.0021,0.0018,109,-3e-04,-0.1429,29.43,0.07,52.5,17,0.5,0.0826,0.0328,0.0131,0.0016,0.29,1,-0.11,2.19,2,0
"117","Adam Hadwin",22549582,6300,67.09,0.0062,0.0055,56,-7e-04,-0.1129,48.63,3.6,71.5,22.5,0.5833,0.1351,0.0613,0.0276,0.0048,0.87,1,0.47,3.65,7,0
"118","Kramer Hickok",22677977,6300,47.35,0.0025,0.002,106,-5e-04,-0.2,40.84,0.2,65.5,20.5,0.4785,0.0766,0.03,0.0118,0.0016,0.32,1,-0.08,2.3,2,0
"119","Russell Knox",22677980,6300,59.29,0.0043,0.0041,74,-2e-04,-0.0465,44.79,0.62,68.5,21.5,0.5516,0.116,0.0481,0.0206,0.0031,0.65,1,0.25,3.31,4,0
"120","Scott Stallings",22677981,6300,57.55,0.0035,0.0034,84,-1e-04,-0.0286,42.78,0.18,67.5,21,0.5098,0.0922,0.0376,0.0158,0.002,0.54,1,0.14,3.11,3,0
"121","Dean Burmester",22549583,6200,71.31,0.0041,0.004,76,-1e-04,-0.0244,42.78,0.9,66.58,21,0.5283,0.0996,0.0406,0.0161,0.0024,0.65,1,0.27,3.37,4,0
"122","Yuki Inamori",22549595,6100,57,0.0012,0.001,122,-2e-04,-0.1667,18.64,0.08,24,11.5,0.3788,0.0339,0.0108,0.0043,6e-04,0.16,1,-0.2,1.62,2,0
"123","Bio Kim",22549596,6100,0,0.0011,9e-04,123,-2e-04,-0.1818,18.53,0.05,23.5,11.5,0.3623,0.0304,0.0106,0.004,0,0.15,1,-0.21,1.57,2,0
"124","Padraig Harrington",22549599,6100,62.77,0.0016,0.0013,118,-3e-04,-0.1875,39.05,0.68,64,20,0.4255,0.0509,0.0182,0.0071,8e-04,0.21,1,-0.15,2.16,3,0
