player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Robert Griffin III,7008,QB,WAS,3,107,93.8,16,17,12.1,3.18,0,3,16.7,88.2,15,11,0.0,23,21.5,0,12,28.0,93.9,75.3,92.7,,70.7,0,0,24,18.2,158.3,8.7,2,4,0,1,3,0,0.0,333,19.6,0,32,47.8,84.0,81.6,72.2,76.6,64,72,7.0,3.01,1,0,0.0,62.5,45,29,8.2,84,78.5,4,24,84.0,77.2,80.1,70.1,,90.0,4,1,88,20.7,77.0,7.1,6,6,1,2,1,2,2.3,414,5.8,81.4,59,63,8.9,2.56,1,2,3.0,69.8,44,0,8.3,67,62.6,4,26,82.5,91.7,79.2,87.1,,90.3,0,0,70,,108.6,0.0,0,4,1,2,3,1,1.4,490,7.8,1,76.2,21,26,5.6,3.86,0,1,3.6,61.5,16,40,0.0,40,37.4,0,10,39.8,67.0,77.3,61.7,,73.0,4,1,42,20.0,91.3,20.0,8,6,0,1,1,1,2.4,257,9.9
Jay Cutler,2956,QB,CHI,3,106,56.1,41,43,12.7,2.73,0,4,8.3,48.8,21,26,8.7,50,47.2,2,14,81.0,57.3,78.3,57.3,,,1,3,55,26.9,57.7,14.0,7,0,0,1,2,4,7.3,294,6.8,0,6,86.4,63.9,61.8,66.2,65.2,46,50,9.2,2.85,4,4,7.5,56.0,28,18,6.7,56,52.8,2,20,81.4,69.7,78.6,65.6,,78.3,0,3,59,22.2,59.4,7.1,4,2,0,0,1,3,5.1,348,7.0,66.1,59,61,10.3,2.43,2,6,9.4,57.4,35,0,10.3,62,58.5,4,21,82.0,70.1,78.9,67.7,,65.6,0,3,65,,73.7,0.0,0,1,0,0,3,5,7.7,409,6.7,1,50.0,28,32,12.1,3.31,2,2,5.4,43.8,14,44,0.0,44,41.5,0,13,80.3,54.9,77.9,53.0,,65.9,1,3,49,25.0,29.8,25.0,11,1,0,1,0,2,4.1,233,7.3
Mark Sanchez,4928,QB,NYJ,3,103,58.5,41,43,9.9,2.58,0,3,6.0,53.5,23,18,4.2,43,41.7,1,19,31.7,60.3,78.0,60.1,,,1,2,50,0.0,77.5,0.0,0,0,0,1,2,4,8.0,358,8.3,0,22,31.4,62.1,63.8,35.2,60.4,53,56,11.7,2.72,0,4,6.7,48.2,27,20,15.6,60,58.3,5,17,40.5,62.1,78.9,65.9,,35.2,0,1,65,15.0,78.9,5.0,3,1,1,2,3,3,4.6,352,6.3,60.7,61,64,10.5,2.24,0,4,5.6,50.0,32,0,13.5,65,63.1,5,25,45.0,63.4,79.4,66.5,,35.2,0,3,74,,78.5,0.0,0,1,1,2,5,4,5.4,434,6.8,0,57.6,33,35,11.6,3.38,0,3,7.9,51.4,18,38,5.3,38,36.9,1,11,28.7,57.9,77.3,57.9,,,1,0,41,7.9,77.8,7.9,3,0,0,1,0,3,7.3,276,7.9
Matt Schaub,1811,QB,HST,3,100,70.0,30,31,8.7,2.56,0,2,5.9,61.3,19,16,9.5,31,31.0,2,14,78.1,76.4,76.6,74.9,,,1,1,34,0.0,100.9,0.0,0,0,0,0,2,1,2.9,295,9.5,0,13,85.7,91.3,91.1,52.7,83.6,61,65,7.0,2.78,2,5,7.5,67.7,44,21,13.7,69,69.0,7,25,82.6,92.8,79.3,92.1,,56.8,1,0,71,14.3,103.1,4.3,3,1,0,1,3,0,0.0,456,7.0,82.3,62,63,6.3,2.56,1,2,3.0,66.7,42,0,17.6,63,63.0,9,26,82.1,90.8,79.0,89.4,,,0,0,66,,96.7,0.0,0,0,0,0,2,0,0.0,431,6.8,1,72.4,29,33,10.1,2.97,1,5,14.3,63.6,21,37,0.0,37,37.0,0,13,78.9,85.7,77.1,85.2,,56.8,2,1,39,8.1,113.2,8.1,3,1,0,1,3,1,2.6,320,9.7
Cam Newton,6153,QB,CAR,3,94,72.4,29,32,10.7,2.99,1,3,9.1,62.5,20,11,4.8,36,38.3,1,15,78.6,64.7,76.9,66.6,,51.5,1,3,37,18.2,65.9,5.6,2,2,0,1,1,2,5.4,310,9.7,0,5,35.9,62.6,66.2,49.1,78.3,46,51,10.1,3.34,2,4,7.5,64.7,33,17,8.3,58,61.7,3,21,38.7,62.1,78.6,64.2,,47.1,0,2,60,23.5,86.1,6.9,4,3,0,3,1,5,8.3,488,9.6,77.0,61,65,10.0,2.72,3,4,6.0,66.2,43,0,8.5,66,70.2,4,29,82.3,72.4,79.1,71.8,,57.9,0,4,68,,85.5,0.0,0,1,0,1,2,4,5.9,682,10.5,0,71.4,14,18,11.6,4.35,0,3,15.8,55.6,10,28,0.0,28,29.8,0,7,26.0,44.3,76.0,50.4,,43.6,1,1,29,21.4,52.1,21.4,6,4,0,3,0,3,10.3,116,6.4
Ryan Fitzpatrick,2467,QB,BUF,3,92,73.3,30,30,5.8,2.4,0,0,0.0,66.7,20,11,9.1,32,34.8,2,15,26.7,47.1,76.4,45.8,,64.4,0,0,32,9.1,130.6,3.1,1,1,0,0,4,2,6.3,240,8.0,0,4,56.2,49.3,46.2,63.7,61.5,52,56,7.6,2.68,3,2,3.4,53.6,30,12,6.3,60,65.2,2,19,81.7,55.7,78.8,50.0,,87.9,0,3,62,0.0,73.6,0.0,0,4,0,1,4,5,8.1,341,6.1,62.9,62,66,6.3,2.39,3,1,1.5,54.5,36,0,7.7,69,75.0,3,21,44.6,35.4,79.3,34.8,,71.7,0,2,71,,91.2,1.4,1,2,0,1,6,5,7.0,411,6.2,0,75.0,20,20,9.1,3.15,0,1,5.0,70.0,14,23,6.7,23,25.0,1,13,75.9,86.8,75.2,77.1,,86.0,0,1,23,0.0,108.3,0.0,0,3,0,0,2,2,8.7,170,8.5
Russell Wilson,7077,QB,SEA,3,92,60.0,25,31,5.9,2.82,2,0,0.0,41.9,13,21,13.3,40,43.5,2,9,79.8,49.0,77.6,45.7,,69.5,0,0,45,19.0,51.7,10.0,4,5,0,4,0,2,4.4,109,3.5,0,29,57.2,61.0,62.6,60.4,76.2,42,44,12.2,3.26,0,5,10.6,68.2,30,20,6.3,52,56.5,2,17,81.2,80.4,78.5,75.3,,76.7,0,1,57,10.0,110.5,3.8,2,6,0,2,4,0,0.0,325,7.4,71.7,46,48,9.4,2.38,2,5,9.4,64.6,31,0,6.1,51,55.4,2,15,81.3,67.2,78.5,63.7,,73.3,0,1,58,,89.7,0.0,0,3,0,0,2,2,3.4,329,6.9,5,66.7,21,27,10.9,3.93,0,0,0.0,44.4,12,41,14.3,41,44.6,2,11,79.6,65.8,77.5,60.0,,73.7,0,0,44,14.6,80.0,14.6,6,8,0,6,2,0,0.0,105,3.9
Blaine Gabbert,6162,QB,JAX,3,89,57.1,28,29,7.4,2.4,1,0,0.0,41.4,12,17,25.0,32,36.0,4,4,78.7,53.5,77.0,51.4,,65.9,0,0,38,11.8,67.2,6.3,2,1,0,0,1,0,0.0,133,4.6,0,15,55.9,65.8,67.6,46.8,70.2,47,50,7.3,2.72,2,4,7.7,56.0,28,19,15.2,57,64.0,5,13,81.4,79.5,78.6,77.9,,63.1,1,0,60,21.1,96.7,7.0,4,3,0,0,3,1,1.7,335,6.7,69.4,49,52,8.7,2.44,3,4,7.3,53.8,28,0,17.6,53,59.6,6,11,81.1,77.9,78.4,77.0,,58.3,0,0,56,,94.9,0.0,0,1,0,0,3,1,1.8,358,6.9,0,57.7,26,27,4.7,2.86,0,0,0.0,44.4,12,36,20.0,36,40.4,3,6,79.2,55.3,77.3,51.0,,74.3,1,0,42,16.7,68.4,16.7,6,3,0,0,1,0,0.0,110,4.1
Josh Freeman,4940,QB,TB,3,88,55.6,27,30,8.1,2.4,0,2,5.9,40.0,12,12,20.0,33,37.5,3,5,78.4,53.4,76.9,53.8,,,1,1,37,25.0,56.9,9.1,3,0,0,2,2,0,0.0,95,3.2,0,30,85.0,65.6,63.6,64.6,70.5,44,50,10.1,3.15,2,4,7.5,58.0,29,21,6.5,55,62.5,2,20,81.2,75.5,78.5,69.8,,84.5,1,2,58,14.3,80.1,5.5,3,2,0,3,2,2,3.4,396,7.9,71.2,52,55,10.5,2.58,2,5,8.5,60.0,33,0,10.8,55,62.5,4,20,81.4,85.8,78.6,83.5,,,0,1,59,,94.4,0.0,0,0,0,1,3,0,0.0,418,7.6,1,47.4,19,25,6.3,3.36,0,1,3.6,32.0,8,33,11.1,33,37.5,1,5,78.1,34.7,76.8,29.3,,84.5,2,2,36,18.2,21.3,18.2,6,2,0,4,1,2,5.6,73,2.9
Kevin Kolb,3652,QB,ARZ,3,67,70.0,10,11,5.9,2.63,0,1,8.3,63.6,7,6,0.0,12,17.9,0,7,72.8,82.4,73.2,80.4,,,0,0,13,16.7,130.3,8.3,1,0,0,1,2,1,7.7,94,8.5,0,1,48.3,63.5,67.8,50.6,73.3,45,48,6.4,2.77,1,1,2.0,64.6,31,18,6.1,55,82.1,2,18,36.9,60.2,78.6,61.7,,51.9,0,0,59,22.2,98.8,7.3,4,3,0,2,2,1,1.7,334,7.0,74.4,43,43,6.1,2.26,0,0,0.0,69.8,30,0,6.3,43,64.2,2,19,79.5,64.4,77.4,63.9,,,0,0,43,,110.9,0.0,0,0,0,0,3,0,0.0,283,6.6,2,66.7,12,16,7.2,3.62,1,2,10.0,50.0,8,24,0.0,24,35.8,0,6,25.7,67.9,76.0,71.1,,51.9,0,0,29,20.8,102.3,20.8,5,3,0,3,1,2,6.9,145,9.1
John Skelton,5678,QB,ARZ,1,30,75.0,8,11,6.6,2.81,1,0,0.0,45.5,5,7,16.7,12,40.0,1,2,73.2,41.5,73.5,43.4,,58.3,2,0,14,0.0,55.1,0.0,0,1,0,0,0,0,0.0,40,3.6,0,1,26.5,38.9,41.9,58.3,64.3,14,17,9.9,2.54,3,1,5.9,52.9,9,6,0.0,18,60.0,0,6,22.4,45.8,74.3,46.8,,,0,1,18,16.7,48.4,5.6,1,0,0,0,0,3,16.7,109,6.4,78.6,14,17,8.3,2.31,3,1,5.9,64.7,11,0,0.0,17,56.7,0,5,74.2,58.7,74.1,58.7,,,0,0,17,,80.5,0.0,0,0,0,0,0,1,5.9,100,5.9,1,50.0,8,11,9.5,3.09,1,0,0.0,27.3,3,13,25.0,13,43.3,1,3,21.2,29.6,73.7,31.4,,58.3,2,1,15,7.7,7.8,7.7,1,1,0,0,0,2,13.3,49,4.5
Shaun Hill,1255,QB,DET,1,13,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,11,73.7,74.9,76.2,57.3,91.7,12,13,11.3,2.28,0,1,7.1,76.9,10,1,9.1,13,100.0,1,8,73.2,77.8,73.5,76.2,,,0,0,14,0.0,157.9,0.0,0,0,1,0,2,1,7.1,172,13.2,90.9,11,12,10.4,2.26,0,1,7.7,75.0,9,0,10.0,12,92.3,1,7,72.8,72.9,73.2,71.8,,,0,0,13,,154.9,0.0,0,0,1,0,2,1,7.7,146,12.2,0,100.0,1,1,22.0,2.6,0,0,0.0,100.0,1,1,0.0,1,7.7,0,1,60.4,75.8,64.6,74.1,,,0,0,1,0.0,118.8,0.0,0,0,0,0,0,0,0.0,26,26.0
Matt Hasselbeck,408,QB,TEN,1,11,100.0,1,1,-3.0,2.9,0,0,0.0,100.0,1,0,0.0,1,9.1,0,1,60.4,60.0,64.6,60.0,,,0,0,1,,118.8,0.0,0,0,0,0,0,0,0.0,14,14.0,0,31,72.4,42.1,43.1,,50.0,10,10,4.2,2.31,0,0,0.0,50.0,5,1,0.0,10,90.9,0,2,71.9,40.8,72.6,42.2,,,0,0,11,0.0,56.3,0.0,0,0,0,0,0,0,0.0,29,2.9,60.0,10,10,2.5,2.36,0,0,0.0,60.0,6,0,0.0,10,90.9,0,3,71.9,47.0,72.6,47.9,,,0,0,11,,70.0,0.0,0,0,0,0,0,0,0.0,43,4.3,0,0.0,1,1,14.0,2.4,0,0,0.0,0.0,0,1,,1,9.1,0,0,60.4,45.4,64.6,46.9,,,0,0,1,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Tyrod Taylor,6332,QB,BLT,1,3,50.0,2,2,12.0,1.7,0,0,0.0,50.0,1,0,0.0,2,66.7,0,1,63.6,47.6,66.9,48.7,,,0,0,2,,95.8,0.0,0,0,0,0,0,0,0.0,25,12.5,0,3,67.4,50.1,50.1,60.0,100.0,1,1,0.0,3.0,0,0,0.0,100.0,1,0,0.0,1,33.3,0,0,60.4,60.4,64.6,60.3,,,0,0,1,,87.5,0.0,0,0,0,0,0,0,0.0,5,5.0,66.7,3,3,8.0,2.13,0,0,0.0,66.7,2,0,0.0,3,100.0,0,1,65.5,49.2,68.2,50.1,,,0,0,3,,99.3,0.0,0,0,0,0,0,0,0.0,30,10.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
David Carr,1009,QB,NYG,1,3,0.0,1,1,13.0,2.75,0,0,0.0,0.0,0,1,,2,66.7,0,0,17.4,28.8,66.9,29.9,,,0,0,2,100.0,39.6,50.0,1,0,0,0,0,0,0.0,0,0.0,0,21,17.3,32.1,32.8,,100.0,1,1,1.0,1.8,0,0,0.0,100.0,1,0,0.0,1,33.3,0,0,60.4,60.5,64.6,60.4,,,0,0,1,,83.3,0.0,0,0,0,0,0,0,0.0,4,4.0,50.0,2,2,7.0,1.75,0,0,0.0,50.0,1,0,0.0,2,66.7,0,0,63.6,53.6,66.9,54.2,,,0,0,2,,56.3,0.0,0,0,0,0,0,0,0.0,4,2.0,0,,0,0,,3.8,0,0,,,0,1,,1,33.3,0,0,29.4,60.0,64.6,60.0,,,0,0,1,100.0,0.0,100.0,1,0,0,0,0,0,0.0,0,
Derek Anderson,2430,QB,CAR,1,3,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,5,66.9,49.1,50.0,,100.0,3,3,6.3,2.5,0,0,0.0,100.0,3,1,0.0,3,100.0,0,2,66.9,49.1,69.2,50.0,,,0,0,4,0.0,118.8,0.0,0,0,0,0,0,0,0.0,46,15.3,100.0,2,2,8.5,2.55,0,0,0.0,100.0,2,0,0.0,2,66.7,0,2,65.5,47.4,68.2,48.5,,,0,0,3,,118.8,0.0,0,0,0,0,0,0,0.0,37,18.5,0,100.0,1,1,2.0,2.4,0,0,0.0,100.0,1,1,0.0,1,33.3,0,0,60.4,60.5,64.6,60.4,,,0,0,1,0.0,104.2,0.0,0,0,0,0,0,0,0.0,9,9.0
Chad Henne,4371,QB,JAX,1,2,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,15,14.8,48.0,77.5,40.2,100.0,2,2,10.5,2.2,0,0,0.0,100.0,2,2,0.0,2,100.0,0,2,65.5,79.4,68.2,77.5,,,0,0,3,0.0,114.6,0.0,0,0,0,0,0,0,0.0,23,11.5,,0,0,,,0,0,0.0,,0,0,,0,0.0,0,0,60.4,60.5,64.6,60.4,,,0,0,1,,0.0,,0,0,0,0,0,0,0.0,0,,0,100.0,2,2,10.5,2.2,0,0,0.0,100.0,2,2,0.0,2,100.0,0,2,63.6,80.4,66.9,78.4,,,0,0,2,0.0,114.6,0.0,0,0,0,0,0,0,0.0,23,11.5
Tim Tebow,5550,QB,NYJ,1,1,,0,0,,5.1,0,0,,,0,1,,1,100.0,0,0,60.4,60.0,64.6,60.0,,,0,0,1,100.0,0.0,100.0,1,0,0,0,0,0,0.0,0,,0,22,71.2,45.5,60.0,54.2,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,43.8,74.6,,42.4,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,42.6,71.1,,41.5,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,,0,0,,5.1,0,0,,,0,1,,1,100.0,0,0,60.4,54.5,72.7,60.0,57.0,,0,0,1,100.0,0.0,100.0,1,0,0,0,0,0,0.0,0,
Mohamed Sanu,7084,WR,CIN,1,1,100.0,1,1,43.0,2.5,0,1,100.0,100.0,1,0,0.0,1,100.0,0,1,60.4,90.1,64.6,87.1,,,0,0,1,,158.3,0.0,0,0,0,0,1,0,0.0,73,73.0,0,7,60.4,81.5,87.1,,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,55.8,65.4,,57.5,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,100.0,1,1,43.0,2.5,0,1,100.0,100.0,1,0,0.0,1,100.0,0,1,60.4,90.2,67.0,87.1,57.5,,0,0,1,,158.3,0.0,0,0,0,0,1,0,0.0,73,73.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
