"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","odds_per_dollar","residuals","own_change","adj_own","ownership","total_pts","date","tournament"
"82","Kurt Kitayama",22890893,6300,53.16,0.0028,0.0031,78,3e-04,0.1071,53.75,3.4,79,25,0.4896,0.0037,0.1417,0.0811,0.032,0.0124,0.0063,0.0016,100,0.49,0.07,2.63,6,0.0251,30.5,"2022-06-05","Memorial Tournament"
"83","Peter Malnati",22890894,6300,58.24,0.0036,0.0032,75,-4e-04,-0.1111,43.86,0.65,71,22.5,0.5095,0.0042,0.1488,0.0841,0.0323,0.013,0.0062,0.0018,100,0.51,0.09,1.24,2,0.0086,23.5,"2022-06-05","Memorial Tournament"
"84","Carlos Ortiz",22890895,6300,57.08,0.0016,0.0015,100,-1e-04,-0.0625,48.12,0.86,74.5,23.5,0.4905,0.0036,0.1357,0.0764,0.0295,0.0121,0.0064,0.0015,64,0.24,-0.18,1.78,3,0.0058,51,"2022-06-05","Memorial Tournament"
"85","Adam Svensson",22890896,6300,52.98,0.0018,0.0019,94,1e-04,0.0556,47.84,0.55,74,23.5,0.5319,0.0064,0.1659,0.0965,0.0388,0.0157,0.0087,0.0021,45,0.3,-0.12,2.19,3,0.0085,65,"2022-06-05","Memorial Tournament"
"86","Garrick Higgo",22890897,6300,44.32,0.001,0.0011,106,1e-04,0.1,43.32,0.34,71,22.5,0.3735,0.0016,0.0636,0.0319,0.0096,0.0029,0.0013,3e-04,18,0.17,-0.25,2.18,3,8e-04,70.5,"2022-06-05","Memorial Tournament"
"87","Martin Laird",22890898,6300,53.81,0.0032,0.0028,80,-4e-04,-0.125,49.11,1.2,75,23.5,0.5334,0.0053,0.1722,0.0997,0.0405,0.0155,0.0076,0.0023,37,0.44,0.02,1.23,2,0.0045,54.5,"2022-06-05","Memorial Tournament"
"88","Chan Kim",22890899,6200,53.33,0.0022,0.002,92,-2e-04,-0.0909,44.64,0.16,71,23,0.3684,0.0023,0.0629,0.0309,0.0099,0.003,0.0013,3e-04,67,0.32,-0.02,1.61,2,0.0017,46,"2022-06-05","Memorial Tournament"
"89","Danny Willett",22890900,6200,51.03,0.005,0.0045,64,-5e-04,-0.1,50.45,1.8,75.5,24,0.5308,0.0048,0.1699,0.0976,0.0378,0.0143,0.0072,0.0016,100,0.73,0.39,1.08,3,0.0266,18.5,"2022-06-05","Memorial Tournament"
"90","Emiliano Grillo",22890901,6200,51.58,0.0039,0.0034,72,-5e-04,-0.1282,52.74,0.83,77.5,25,0.5254,0.005,0.1638,0.094,0.0377,0.0146,0.0078,0.002,32,0.55,0.21,1.06,2,0.0111,55.5,"2022-06-05","Memorial Tournament"
"91","Beau Hossler",22890902,6200,54.34,0.0014,0.0024,88,0.001,0.7143,44.16,2.2,71,22.5,0.4832,0.0036,0.1346,0.0762,0.0289,0.0116,0.0058,0.0014,32,0.39,0.05,5.03,7,0.0243,71.5,"2022-06-05","Memorial Tournament"
