"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","odds_per_dollar","one","residuals","own_change","adj_own"
"49","Graeme McDowell",22311761,7100,48.54,0.0065,0.0036,92,-0.0029,-0.4462,37.35,3.9,63.5,20.5,0.51,1,-0.5,5.8159444,10
"50","Kurt Kitayama",22311762,7100,48.08,0.0066,0.0057,68,-9e-04,-0.1364,51.42,2.5,75.5,24,0.8,1,-0.21,8.2285496,10
"51","Nick Taylor",22311763,7100,56.25,0.0082,0.0095,36,0.0013,0.1585,54.46,8.6,76.5,24.93,1.34,1,0.33,13.0987225,20
"52","Danny Lee",22311764,7100,52,0.0093,0.0115,28,0.0022,0.2366,48.93,7.9,74,23.5,1.62,1,0.61,15.4172956,25
"53","Chase Seiffert",22311765,7100,61.43,0.0078,0.0071,54,-0.000699999999999999,-0.0897,56.66,6.8,78,25.5,1,1,-0.01,8.6729609,15
"54","Joseph Bramlett",22311766,7100,51.26,0.0081,0.0089,40,8e-04,0.0988,53.99,10.9,78,24.5,1.25,1,0.24,11.8776144,25
"56","Peter Uihlein",22311768,7000,60.54,0.0058,0.0059,64,1e-04,0.0172,46.86,6.6,72,23,0.84,1,-0.1,10.1279584,15
"57","Andrew Putnam",22311769,7000,56.06,0.0103,0.0058,66,-0.0045,-0.4369,50.66,1.8,74.5,24,0.83,1,-0.11,2.8263161,5
"58","John Huh",22311770,7000,56.96,0.006,0.0056,70,-4e-04,-0.0667,50.78,1.9,74.5,23.5,0.8,1,-0.14,9.1394889,10
"59","Matt Wallace",22311771,7000,41.25,0.0053,0.0044,80,-9e-04,-0.1698,44.26,0.94,70,22,0.63,1,-0.31,8.2558204,10
"60","Robert Streb",22311772,7000,51.34,0.0075,0.0072,52,-3e-04,-0.04,47.91,3.9,72.5,23,1.03,1,0.09,9.4835,15
"61","Kiradech Aphibarnrat",22311773,6900,48.96,0.0061,0.0036,92,-0.0025,-0.4098,39.95,1.3,66.58,21.5,0.52,1,-0.33,6.4318604,10
"62","Ben Martin",22311774,6900,52.5,0.0026,0.0035,96,9e-04,0.3462,50.33,1.1,74.5,24,0.51,1,-0.34,12.7435444,15
"63","Peter Malnati",22311775,6900,56.08,0.0079,0.0072,52,-0.000700000000000001,-0.0886,45.08,2.7,70.5,22.5,1.04,1,0.19,8.8209996,10
"64","Adam Schenk",22311776,6900,45.19,0.0053,0.0059,64,6e-04,0.1132,50.38,3.1,74,24,0.86,1,0.01,11.3356424,15
"65","Ryan Armour",22311777,6900,50.39,0.0074,0.0064,62,-0.001,-0.1351,58.3,4.5,79,25.5,0.93,1,0.08,8.2425201,15
"66","Lee Hodges",22311778,6900,53.19,0.0067,0.0089,40,0.0022,0.3284,52.25,3.8,75.5,24.43,1.29,1,0.44,15.8084656,20
"67","Vaughn Taylor",22311779,6900,56.17,0.0059,0.0085,43,0.0026,0.4407,49.79,2.8,73.58,23.5,1.23,1,0.38,17.4271649,20
"68","Hayden Buckley",22311781,6800,53.94,0.005,0.0054,71,4e-04,0.08,51.46,4.6,75.58,24,0.79,1,0.02,10.879,15
"69","Luke Donald",22311782,6800,51.75,0.0053,0.0031,102,-0.0022,-0.4151,48.5,0.62,72.5,23.5,0.46,1,-0.31,7.0905801,10
