"","event_name","player_name","salary","ownership","streak_pts","bogey_free_pts","hole_in_one_pts","sub_70_pts","hole_score_pts","finish_pts","total_pts","open_odds","close_odds","odds_delta","odds_delta_per","date","make_cut","top_20","top_10","top_5","top_3","win","dg_id","round_score","sg_putt","sg_arg","sg_app","sg_ott","sg_t2g","sg_total","driving_dist","driving_acc","gir","scrambling","prox_rgh","prox_fw"
"137","The American Express","Reiter, Charles",6000,0.0017,0,0,0,0,46,0,46,NA,NA,NA,NA,"Jan 19, 2020",0.26335,0.03145,0.0116,0.00445,0.0021,0.00035,24303,72.6666666666667,1.635,-1.477,-1.776,0.618,-2.635,-3.16666666666667,292.3,0.571,0.611,NA,48.186,42.026
"138","The American Express","Malnati, Peter",6600,0.0144,0,0,0,0,45.5,0,45.5,NA,NA,NA,NA,"Jan 19, 2020",0.41405,0.080625,0.03455,0.01435,0.0079,0.0023,14926,70.3333333333333,0.25,0.927,-0.559,-1.245,-0.877,-0.755666666666667,275.1,0.429,0.667,NA,35.031,35.251
"139","The American Express","Hossler, Beau",6600,0.0159,0,3,0,0,42.5,0,45.5,0.0073,0.0073,0,0,"Jan 19, 2020",0.467625,0.114975,0.0537,0.024825,0.013575,0.0044,15470,71.3333333333333,0.834,-1.386,-0.54,1.092,-0.834,-1.83333333333333,292.5,0.643,0.722,NA,42.318,27.714
"140","The American Express","Hickok, Kramer",6500,0.0022,0,0,0,0,44.5,0,44.5,NA,NA,NA,NA,"Jan 19, 2020",0.52045,0.139075,0.06625,0.03135,0.018325,0.006325,21237,71.3333333333333,-1.143,1.424,-0.634,-0.647,0.143,-1.83333333333333,276.6,0.643,0.556,NA,18.273,26.912
"141","The American Express","Streb, Robert",6100,0.0016,0,0,0,0,44,0,44,NA,NA,NA,NA,"Jan 19, 2020",0.4062,0.0791,0.033575,0.014575,0.007825,0.0019,14852,72.6666666666667,-0.557,-1.026,-0.597,-3.447,-5.07,-3.089,274.5,0.357,0.611,NA,47.229,32.628
"142","The American Express","Senden, John",6000,4e-04,3,0,0,0,40,0,43,NA,NA,NA,NA,"Jan 19, 2020",0.13035,0.007,0.002125,7e-04,0.000325,7.5e-05,5207,72.6666666666667,-1.435,-0.389,-1.104,-0.699,-2.192,-3.089,280,0.357,0.611,NA,36.894,24.627
"143","The American Express","Campos, Rafael",6000,0.0019,0,0,0,0,41.5,0,41.5,NA,NA,NA,NA,"Jan 19, 2020",0.258775,0.030475,0.011675,0.004225,0.002125,4e-04,12909,73.3333333333333,-0.272,-2.328,-0.693,0.947,-2.074,-3.662,282.7,0.643,0.556,NA,40.001,30.779
"144","The American Express","Saunders, Sam",6000,0.0039,0,0,0,0,41.5,0,41.5,NA,NA,NA,NA,"Jan 19, 2020",0.3085,0.044375,0.0176,0.007375,0.004,0.000975,11048,73.3333333333333,-1.956,-0.166,-1.62,-4.258,-6.044,-3.83333333333333,285.8,0.429,0.5,NA,24.659,29.087
"145","The American Express","Molinari, Francesco",9200,0.1027,0,0,0,0,39.5,0,39.5,0.0225,0.0225,0,0,"Jan 19, 2020",0.624425,0.2139,0.114825,0.0585,0.034775,0.01155,7655,72,-0.67,-0.662,-1.319,0.651,-1.33,-2.5,277.5,0.714,0.667,NA,25.373,24.077
"146","The American Express","Hoag, Bo",6800,0.0509,0,0,0,0,39,0,39,NA,NA,NA,NA,"Jan 19, 2020",0.481125,0.112725,0.0515,0.023175,0.012975,0.003575,14081,69.5,NA,NA,NA,NA,NA,-0.25,NA,NA,NA,NA,NA,NA
