datagolf_name,dk_name,sample_size,dk_id,dk_salary,std_dev,tee_time,early_late_wave,scoring_points,finish_points,manual_bump,total_points,value,max_exposure,projected_ownership,lineup_rule
"Bezuidenhout, Christiaan","Christiaan Bezuidenhout",150,22819001,7600,29.141,7:31 am,1,56.2,2.8,0,59,0.17,100,6.85445844747525,
"McNealy, Maverick","Maverick McNealy",150,22819005,7500,29.770,8:48 am,1,59.1,3.3,0,62.4,0.5,100,8.17869687641666,
"Tringale, Cameron","Cameron Tringale",150,22819003,7500,29.621,7:31 am,1,57.8,3.1,0,61,0.38,100,6.79089375608065,
"Pan, C.T.","C.T. Pan",150,22819004,7500,29.436,8:04 am,1,58,3.2,0,61.2,0.39,100,6.71398457144288,
"Reed, Patrick","Patrick Reed",150,22819008,7400,28.829,8:15 am,1,55.4,2.6,0,58,0.16,100,5.12455408463486,
"Fowler, Rickie","Rickie Fowler",150,22819006,7400,28.461,7:53 am,1,52,2.1,0,54.1,-0.09,100,5.01030019437685,
"Kisner, Kevin","Kevin Kisner",150,22819007,7400,29.483,12:34 pm,0,56.2,2.7,0,58.9,0.24,100,6.23763268148269,
"Van Rooyen, Erik","Erik Van Rooyen",150,22819009,7300,29.296,7:53 am,1,55.1,2.6,0,57.6,0.17,100,5.1760667546027,
"Palmer, Ryan","Ryan Palmer",150,22819011,7300,29.617,7:53 am,1,55.8,2.7,0,58.5,0.25,100,6.66288791684166,
"NeSmith, Matthew","Matthew NeSmith",150,22819012,7300,28.760,7:20 am,1,55.4,2.6,0,58,0.2,100,3.59169536251081,
"Merritt, Troy","Troy Merritt",150,22819010,7300,29.569,12:12 pm,0,57.9,3.1,0,61,0.46,100,6.63998100006924,
"Poulter, Ian","Ian Poulter",150,22819013,7200,28.186,8:15 am,1,51.8,2.2,0,54,-0.05,100,4.39959742466124,
"Rai, Aaron","Aaron Rai",150,22819015,7200,28.547,1:07 pm,0,54.6,2.5,0,57.1,0.17,100,5.63074999555625,
"Davis, Cameron","Cameron Davis",150,22819014,7200,28.278,12:45 pm,0,52.6,2.1,0,54.8,-0.02,100,3.20900569585988,
"Dahmen, Joel","Joel Dahmen",150,22819016,7200,28.862,7:42 am,1,54.1,2.4,0,56.5,0.11,100,4.54188500371887,
"Lee, Kyounghoon","Kyoung-Hoon Lee",150,22819017,7200,29.365,8:37 am,1,56.4,2.8,0,59.3,0.35,100,5.51545386234234,
"Frittelli, Dylan","Dylan Frittelli",150,22819020,7100,28.331,8:15 am,1,51.9,2.1,0,54,-0.03,100,2.81770468621246,
"Spaun, J.J.","J.J. Spaun",150,22819022,7100,29.253,8:37 am,1,55.7,2.7,0,58.5,0.33,100,4.50885361443459,
"Herbert, Lucas","Lucas Herbert",150,22819018,7100,28.939,8:37 am,1,53.2,2.2,0,55.5,0.07,100,4.43400321535349,
"Cink, Stewart","Stewart Cink",150,22819021,7100,29.142,12:23 pm,0,53.1,2.2,0,55.3,0.05,100,5.24924160566678,
"Lashley, Nate","Nate Lashley",150,22819019,7100,28.237,7:53 am,1,51.7,2,0,53.6,-0.05,100,2.65277664710226,
"Todd, Brendon","Brendon Todd",150,22819027,7000,28.160,12:45 pm,0,52.7,2.3,0,55,0.06,100,3.44267863873415,
"Hahn, James","James Hahn",150,22819025,7000,27.784,12:01 pm,0,50.2,1.9,0,52.1,-0.09,100,3.0145285325407,
"Lipsky, David","David Lipsky",150,22819023,7000,28.674,1:29 pm,0,52.9,2.2,0,55.1,0.07,100,4.28449816026121,
