player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
T.J. Ward,5563,S,DEN,10,356,0,10,0,5.4,50.0,88.1,25.0,12.5,1,1,10.0,66.4,0,9,15.4,2,1,56.3,5,140,39.3,159,5,11,10,0,14,7,0.1,2.8,0,3,5.9,66.7,97.5,13.4,9.0,0,2,9.5,57.7,0,30,20.8,5,2,89.0,14,197,55.3,202,7,16,21,0,158,89,0.8,11.3
Koa Misi,5565,LB,MIA,12,317,0,17,2,5.2,88.9,68.8,7.0,6.2,0,0,0.0,44.4,0,20,0.0,0,0,100.9,8,66,20.8,96,1,4,9,0,74,23,1.3,9.3,0,0,3.5,83.3,91.1,8.5,7.1,0,1,3.3,59.4,0,26,13.8,4,1,119.4,25,234,73.8,257,12,25,30,1,300,212,1.4,12.0
Lamarr Houston,5569,ED,CHI,12,20,0,6,0,0.0,100.0,5.4,4.0,4.0,0,0,0.0,49.8,0,11,0.0,0,0,112.5,1,4,20.0,74,3,3,1,0,11,11,2.8,11.0,0,0,12.0,50.0,12.1,15.0,7.5,0,0,0.0,63.7,0,20,0.0,0,0,85.4,1,15,75.0,124,3,1,2,0,20,0,1.3,20.0
Taylor Mays,5574,S,OAK,8,150,0,23,1,4.0,42.9,90.0,15.3,6.6,0,3,42.9,71.0,0,9,20.0,1,3,89.9,3,54,36.0,60,1,3,7,1,20,10,0.4,6.7,0,2,3.7,83.3,97.7,16.6,13.8,0,0,0.0,51.4,0,11,16.7,1,0,86.8,5,86,57.3,88,2,3,6,0,29,24,0.3,5.8
Carlos Dunlap,5579,ED,CIN,13,20,0,7,0,,,2.3,,,0,0,,61.4,0,,100.0,1,0,0.0,0,2,10.0,87,2,0,0,0,0,0,0.0,,0,1,5.0,100.0,4.7,8.5,8.5,0,0,0.0,63.1,0,19,20.0,1,0,118.8,2,18,90.0,381,10,3,2,0,34,24,2.0,17.0
Sean Lee,5580,LB,DAL,12,353,0,9,2,0.5,63.6,87.0,21.1,13.5,0,3,27.3,91.7,0,13,14.3,2,3,99.1,7,161,45.6,185,9,10,11,1,36,59,0.2,5.1,0,1,4.1,90.9,92.2,7.6,6.9,0,0,0.0,56.5,0,24,8.7,2,0,109.3,20,165,46.7,179,8,20,22,0,225,150,1.5,11.3
Mike Neal,5581,ED,GB,13,38,0,12,1,0.0,75.0,9.7,4.7,3.5,0,0,0.0,47.2,0,25,50.0,2,0,107.3,3,14,36.8,145,2,1,4,0,41,47,2.9,13.7,0,0,-5.0,100.0,9.9,22.0,22.0,0,0,0.0,66.5,0,16,0.0,0,0,118.8,1,22,57.9,223,1,1,1,0,16,21,0.7,16.0
Morgan Burnett,5596,S,GB,8,284,0,12,0,18.0,0.0,91.7,,48.5,0,1,50.0,66.0,0,,40.0,2,1,39.6,0,100,35.2,109,0,3,2,0,0,0,0.0,,0,2,12.0,50.0,96.6,33.0,16.5,0,0,0.0,66.7,0,33,21.4,3,0,72.9,5,168,59.2,174,2,9,10,0,70,26,0.4,14.0
Alex Carrington,5597,ED,BUF,7,1,0,4,0,,,1.8,,,0,0,,60.2,0,,0.0,0,0,0.0,0,1,100.0,56,0,1,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,60.9,0,,0.0,0,0,0.0,0,0,0.0,37,1,1,0,0,0,0,,
Major Wright,5600,S,TB,7,99,0,30,0,4.0,100.0,100.0,14.5,14.5,0,1,50.0,56.1,0,7,0.0,0,1,85.4,2,33,33.3,33,0,3,2,0,9,1,0.3,4.5,0,1,17.7,66.7,94.0,30.0,20.0,0,0,0.0,45.7,0,21,0.0,0,0,144.4,2,63,63.6,67,1,5,3,1,34,1,0.6,17.0
Donald Butler,5603,LB,SD,11,217,0,27,0,7.5,92.3,73.7,5.3,4.8,0,0,0.0,27.9,0,47,0.0,0,0,144.4,12,70,32.3,95,2,6,13,1,217,152,3.4,18.1,0,0,3.6,80.0,86.9,15.0,12.0,0,0,0.0,60.7,0,25,37.5,3,0,125.0,8,126,58.1,145,3,5,10,1,60,38,0.5,7.5
Earl Mitchell,5605,DI,MIA,12,7,0,17,0,,,0.0,,,0,0,,60.0,0,,100.0,1,0,0.0,0,0,0.0,73,0,0,0,0,0,0,,,0,2,,,3.5,,,0,0,,59.2,0,,0.0,0,0,0.0,0,6,85.7,171,0,1,0,0,0,0,0.0,
NaVorro Bowman,5615,LB,SF,13,407,0,28,0,3.7,92.9,59.0,4.7,4.4,0,0,0.0,52.6,0,40,12.5,1,0,151.5,13,62,15.2,105,4,7,14,2,152,112,2.5,11.7,0,4,4.1,93.0,83.2,7.5,7.0,2,1,2.3,49.6,0,54,19.0,8,1,100.8,40,318,78.1,382,16,30,43,0,352,196,1.2,8.8
Everson Griffen,5624,ED,MIN,12,19,0,18,0,11.0,100.0,2.8,2.0,2.0,1,0,0.0,55.9,0,19,,0,0,118.8,1,3,15.8,108,1,0,1,0,19,8,9.5,19.0,0,0,,,5.3,,,0,0,,63.6,0,,0.0,0,0,0.0,0,16,84.2,304,6,1,0,0,0,0,0.0,
